Week ending,Group,DHB of service,Dose number,# doses administered,,,,,,,,,,,,,,,,,,
21/02/2021,Group 1,Auckland Metro,1,115,,,,,,,,,,,,,,,,,,
21/02/2021,Group 2,Auckland Metro,1,47,,,,,,,,,,,,,,,,,,
28/02/2021,Group 1,Auckland Metro,1,"2,993",,,,,,,,,,,,,,,,,,
28/02/2021,Group 1,Canterbury,1,544,,,,,,,,,,,,,,,,,,
28/02/2021,Group 1,Capital & Coast and Hutt Valley,1,140,,,,,,,,,,,,,,,,,,
28/02/2021,Group 1,Lakes,1,62,,,,,,,,,,,,,,,,,,
28/02/2021,Group 1,Northland,1,18,,,,,,,,,,,,,,,,,,
28/02/2021,Group 1,Tairawhiti,1,43,,,,,,,,,,,,,,,,,,
28/02/2021,Group 1,Waikato,1,194,,,,,,,,,,,,,,,,,,
28/02/2021,Group 2,Auckland Metro,1,2359,,,,,,,,,,,,,,,,,,
28/02/2021,Group 2,Canterbury,1,57,,,,,,,,,,,,,,,,,,
28/02/2021,Group 2,Capital & Coast and Hutt Valley,1,40,,,,,,,,,,,,,,,,,,
28/02/2021,Group 2,Hawke's Bay,1,26,,,,,,,,,,,,,,,,,,
28/02/2021,Group 2,Lakes,1,10,,,,,,,,,,,,,,,,,,
28/02/2021,Group 2,Tairawhiti,1,36,,,,,,,,,,,,,,,,,,
28/02/2021,Group 2,Waikato,1,26,,,,,,,,,,,,,,,,,,
07/03/2021,Group 1,Auckland Metro,1,2867,,,,,,,,,,,,,,,,,,
07/03/2021,Group 1,Bay of Plenty,1,191,,,,,,,,,,,,,,,,,,
07/03/2021,Group 1,Canterbury,1,946,,,,,,,,,,,,,,,,,,
07/03/2021,Group 1,Capital & Coast and Hutt Valley,1,162,,,,,,,,,,,,,,,,,,
07/03/2021,Group 1,Hawke's Bay,1,189,,,,,,,,,,,,,,,,,,
07/03/2021,Group 1,Lakes,1,193,,,,,,,,,,,,,,,,,,
07/03/2021,Group 1,Nelson Marlborough,1,337,,,,,,,,,,,,,,,,,,
07/03/2021,Group 1,Northland,1,158,,,,,,,,,,,,,,,,,,
07/03/2021,Group 1,South Canterbury,1,117,,,,,,,,,,,,,,,,,,
07/03/2021,Group 1,Southern,1,394,,,,,,,,,,,,,,,,,,
07/03/2021,Group 1,Tairawhiti,1,39,,,,,,,,,,,,,,,,,,
07/03/2021,Group 1,Taranaki,1,83,,,,,,,,,,,,,,,,,,
07/03/2021,Group 1,Waikato,1,267,,,,,,,,,,,,,,,,,,
07/03/2021,Group 2,Auckland Metro,1,1463,,,,,,,,,,,,,,,,,,
07/03/2021,Group 2,Bay of Plenty,1,17,,,,,,,,,,,,,,,,,,
07/03/2021,Group 2,Canterbury,1,111,,,,,,,,,,,,,,,,,,
07/03/2021,Group 2,Capital & Coast and Hutt Valley,1,19,,,,,,,,,,,,,,,,,,
07/03/2021,Group 2,Hawke's Bay,1,22,,,,,,,,,,,,,,,,,,
07/03/2021,Group 2,Lakes,1,54,,,,,,,,,,,,,,,,,,
07/03/2021,Group 2,Nelson Marlborough,1,69,,,,,,,,,,,,,,,,,,
07/03/2021,Group 2,South Canterbury,1,121,,,,,,,,,,,,,,,,,,
07/03/2021,Group 2,Southern,1,57,,,,,,,,,,,,,,,,,,
07/03/2021,Group 2,Tairawhiti,1,161,,,,,,,,,,,,,,,,,,
07/03/2021,Group 2,Taranaki,1,67,,,,,,,,,,,,,,,,,,
07/03/2021,Group 2,Waikato,1,797,,,,,,,,,,,,,,,,,,
14/03/2021,Group 1,Auckland Metro,1,2507,,,,,,,,,,,,,,,,,,
14/03/2021,Group 1,Auckland Metro,2,8,,,,,,,,,,,,,,,,,,
14/03/2021,Group 1,Bay of Plenty,1,220,,,,,,,,,,,,,,,,,,
14/03/2021,Group 1,Canterbury,1,784,,,,,,,,,,,,,,,,,,
14/03/2021,Group 1,Capital & Coast and Hutt Valley,1,84,,,,,,,,,,,,,,,,,,
14/03/2021,Group 1,Hawke's Bay,1,115,,,,,,,,,,,,,,,,,,
14/03/2021,Group 1,Lakes,1,136,,,,,,,,,,,,,,,,,,
14/03/2021,Group 1,Nelson Marlborough,1,209,,,,,,,,,,,,,,,,,,
14/03/2021,Group 1,Northland,1,116,,,,,,,,,,,,,,,,,,
14/03/2021,Group 1,Taranaki,1,128,,,,,,,,,,,,,,,,,,
14/03/2021,Group 1,Waikato,1,127,,,,,,,,,,,,,,,,,,
14/03/2021,Group 2,Auckland Metro,1,1529,,,,,,,,,,,,,,,,,,
14/03/2021,Group 2,Auckland Metro,2,13,,,,,,,,,,,,,,,,,,
14/03/2021,Group 2,Bay of Plenty,1,14,,,,,,,,,,,,,,,,,,
14/03/2021,Group 2,Canterbury,1,89,,,,,,,,,,,,,,,,,,
14/03/2021,Group 2,Capital & Coast and Hutt Valley,1,36,,,,,,,,,,,,,,,,,,
14/03/2021,Group 2,Lakes,1,37,,,,,,,,,,,,,,,,,,
14/03/2021,Group 2,Nelson Marlborough,1,161,,,,,,,,,,,,,,,,,,
14/03/2021,Group 2,Other Sites,1,472,,,,,,,,,,,,,,,,,,
14/03/2021,Group 2,Taranaki,1,128,,,,,,,,,,,,,,,,,,
14/03/2021,Group 2,Waikato,1,616,,,,,,,,,,,,,,,,,,
21/03/2021,Group 1,Auckland Metro,1,3426,,,,,,,,,,,,,,,,,,
21/03/2021,Group 1,Auckland Metro,2,2016,,,,,,,,,,,,,,,,,,
21/03/2021,Group 1,Bay of Plenty,1,219,,,,,,,,,,,,,,,,,,
21/03/2021,Group 1,Canterbury,1,243,,,,,,,,,,,,,,,,,,
21/03/2021,Group 1,Capital & Coast and Hutt Valley,1,51,,,,,,,,,,,,,,,,,,
21/03/2021,Group 1,Capital & Coast and Hutt Valley,2,116,,,,,,,,,,,,,,,,,,
21/03/2021,Group 1,Hawke's Bay,1,32,,,,,,,,,,,,,,,,,,
21/03/2021,Group 1,Lakes,1,130,,,,,,,,,,,,,,,,,,
21/03/2021,Group 1,Lakes,2,27,,,,,,,,,,,,,,,,,,
21/03/2021,Group 1,Nelson Marlborough,1,51,,,,,,,,,,,,,,,,,,
21/03/2021,Group 1,Northland,1,56,,,,,,,,,,,,,,,,,,
21/03/2021,Group 1,Other Sites,2,8,,,,,,,,,,,,,,,,,,
21/03/2021,Group 1,South Canterbury,1,65,,,,,,,,,,,,,,,,,,
21/03/2021,Group 1,Tairawhiti,1,25,,,,,,,,,,,,,,,,,,
21/03/2021,Group 1,Tairawhiti,2,37,,,,,,,,,,,,,,,,,,
21/03/2021,Group 1,Waikato,1,110,,,,,,,,,,,,,,,,,,
21/03/2021,Group 1,Waikato,2,13,,,,,,,,,,,,,,,,,,
21/03/2021,Group 2,Auckland Metro,1,474,,,,,,,,,,,,,,,,,,
21/03/2021,Group 2,Auckland Metro,2,1138,,,,,,,,,,,,,,,,,,
21/03/2021,Group 2,Bay of Plenty,1,13,,,,,,,,,,,,,,,,,,
21/03/2021,Group 2,Canterbury,1,58,,,,,,,,,,,,,,,,,,
21/03/2021,Group 2,Canterbury,2,14,,,,,,,,,,,,,,,,,,
21/03/2021,Group 2,Capital & Coast and Hutt Valley,1,258,,,,,,,,,,,,,,,,,,
21/03/2021,Group 2,Capital & Coast and Hutt Valley,2,26,,,,,,,,,,,,,,,,,,
21/03/2021,Group 2,Hawke's Bay,1,34,,,,,,,,,,,,,,,,,,
21/03/2021,Group 2,Hawke's Bay,2,19,,,,,,,,,,,,,,,,,,
21/03/2021,Group 2,Lakes,1,52,,,,,,,,,,,,,,,,,,
21/03/2021,Group 2,Nelson Marlborough,1,822,,,,,,,,,,,,,,,,,,
21/03/2021,Group 2,Other Sites,1,2827,,,,,,,,,,,,,,,,,,
21/03/2021,Group 2,South Canterbury,1,167,,,,,,,,,,,,,,,,,,
21/03/2021,Group 2,Tairawhiti,2,20,,,,,,,,,,,,,,,,,,
21/03/2021,Group 2,Waikato,1,852,,,,,,,,,,,,,,,,,,
21/03/2021,Group 2,Waikato,2,24,,,,,,,,,,,,,,,,,,
28/03/2021,Group 1,Auckland Metro,1,2431,,,,,,,,,,,,,,,,,,
28/03/2021,Group 1,Auckland Metro,2,2596,,,,,,,,,,,,,,,,,,
28/03/2021,Group 1,Bay of Plenty,1,114,,,,,,,,,,,,,,,,,,
28/03/2021,Group 1,Bay of Plenty,2,99,,,,,,,,,,,,,,,,,,
28/03/2021,Group 1,Canterbury,1,420,,,,,,,,,,,,,,,,,,
28/03/2021,Group 1,Canterbury,2,679,,,,,,,,,,,,,,,,,,
28/03/2021,Group 1,Capital & Coast and Hutt Valley,1,306,,,,,,,,,,,,,,,,,,
28/03/2021,Group 1,Capital & Coast and Hutt Valley,2,155,,,,,,,,,,,,,,,,,,
28/03/2021,Group 1,Hawke's Bay,1,73,,,,,,,,,,,,,,,,,,
28/03/2021,Group 1,Hawke's Bay,2,164,,,,,,,,,,,,,,,,,,
28/03/2021,Group 1,Lakes,1,56,,,,,,,,,,,,,,,,,,
28/03/2021,Group 1,Lakes,2,172,,,,,,,,,,,,,,,,,,
28/03/2021,Group 1,MidCentral,1,12,,,,,,,,,,,,,,,,,,
28/03/2021,Group 1,Nelson Marlborough,1,51,,,,,,,,,,,,,,,,,,
28/03/2021,Group 1,Nelson Marlborough,2,250,,,,,,,,,,,,,,,,,,
28/03/2021,Group 1,Northland,1,97,,,,,,,,,,,,,,,,,,
28/03/2021,Group 1,Northland,2,148,,,,,,,,,,,,,,,,,,
28/03/2021,Group 1,Other Sites,2,254,,,,,,,,,,,,,,,,,,
28/03/2021,Group 1,South Canterbury,2,106,,,,,,,,,,,,,,,,,,
28/03/2021,Group 1,Southern,1,426,,,,,,,,,,,,,,,,,,
28/03/2021,Group 1,Southern,2,358,,,,,,,,,,,,,,,,,,
28/03/2021,Group 1,Tairawhiti,1,18,,,,,,,,,,,,,,,,,,
28/03/2021,Group 1,Tairawhiti,2,40,,,,,,,,,,,,,,,,,,
28/03/2021,Group 1,Taranaki,1,100,,,,,,,,,,,,,,,,,,
28/03/2021,Group 1,Taranaki,2,61,,,,,,,,,,,,,,,,,,
28/03/2021,Group 1,Waikato,1,142,,,,,,,,,,,,,,,,,,
28/03/2021,Group 1,Waikato,2,180,,,,,,,,,,,,,,,,,,
28/03/2021,Group 2,Auckland Metro,1,1028,,,,,,,,,,,,,,,,,,
28/03/2021,Group 2,Auckland Metro,2,1840,,,,,,,,,,,,,,,,,,
28/03/2021,Group 2,Bay of Plenty,1,82,,,,,,,,,,,,,,,,,,
28/03/2021,Group 2,Canterbury,1,62,,,,,,,,,,,,,,,,,,
28/03/2021,Group 2,Canterbury,2,37,,,,,,,,,,,,,,,,,,
28/03/2021,Group 2,Capital & Coast and Hutt Valley,1,1596,,,,,,,,,,,,,,,,,,
28/03/2021,Group 2,Capital & Coast and Hutt Valley,2,29,,,,,,,,,,,,,,,,,,
28/03/2021,Group 2,Hawke's Bay,1,318,,,,,,,,,,,,,,,,,,
28/03/2021,Group 2,Hawke's Bay,2,20,,,,,,,,,,,,,,,,,,
28/03/2021,Group 2,Lakes,1,109,,,,,,,,,,,,,,,,,,
28/03/2021,Group 2,Lakes,2,51,,,,,,,,,,,,,,,,,,
28/03/2021,Group 2,MidCentral,1,17,,,,,,,,,,,,,,,,,,
28/03/2021,Group 2,Nelson Marlborough,1,566,,,,,,,,,,,,,,,,,,
28/03/2021,Group 2,Nelson Marlborough,2,55,,,,,,,,,,,,,,,,,,
28/03/2021,Group 2,Northland,1,51,,,,,,,,,,,,,,,,,,
28/03/2021,Group 2,Other Sites,1,2753,,,,,,,,,,,,,,,,,,
28/03/2021,Group 2,Other Sites,2,11,,,,,,,,,,,,,,,,,,
28/03/2021,Group 2,South Canterbury,1,17,,,,,,,,,,,,,,,,,,
28/03/2021,Group 2,South Canterbury,2,108,,,,,,,,,,,,,,,,,,
28/03/2021,Group 2,Southern,1,185,,,,,,,,,,,,,,,,,,
28/03/2021,Group 2,Southern,2,51,,,,,,,,,,,,,,,,,,
28/03/2021,Group 2,Tairawhiti,1,37,,,,,,,,,,,,,,,,,,
28/03/2021,Group 2,Tairawhiti,2,149,,,,,,,,,,,,,,,,,,
28/03/2021,Group 2,Taranaki,1,208,,,,,,,,,,,,,,,,,,
28/03/2021,Group 2,Taranaki,2,14,,,,,,,,,,,,,,,,,,
28/03/2021,Group 2,Waikato,1,346,,,,,,,,,,,,,,,,,,
28/03/2021,Group 2,Waikato,2,456,,,,,,,,,,,,,,,,,,
04/04/2021,Group 1,Auckland Metro,1,1727,,,,,,,,,,,,,,,,,,
04/04/2021,Group 1,Auckland Metro,2,2290,,,,,,,,,,,,,,,,,,
04/04/2021,Group 1,Bay of Plenty,1,88,,,,,,,,,,,,,,,,,,
04/04/2021,Group 1,Bay of Plenty,2,113,,,,,,,,,,,,,,,,,,
04/04/2021,Group 1,Canterbury,1,631,,,,,,,,,,,,,,,,,,
04/04/2021,Group 1,Canterbury,2,679,,,,,,,,,,,,,,,,,,
04/04/2021,Group 1,Capital & Coast and Hutt Valley,1,372,,,,,,,,,,,,,,,,,,
04/04/2021,Group 1,Capital & Coast and Hutt Valley,2,80,,,,,,,,,,,,,,,,,,
04/04/2021,Group 1,Hawke's Bay,1,26,,,,,,,,,,,,,,,,,,
04/04/2021,Group 1,Hawke's Bay,2,105,,,,,,,,,,,,,,,,,,
04/04/2021,Group 1,Lakes,1,49,,,,,,,,,,,,,,,,,,
04/04/2021,Group 1,Lakes,2,105,,,,,,,,,,,,,,,,,,
04/04/2021,Group 1,MidCentral,1,79,,,,,,,,,,,,,,,,,,
04/04/2021,Group 1,Nelson Marlborough,1,38,,,,,,,,,,,,,,,,,,
04/04/2021,Group 1,Nelson Marlborough,2,195,,,,,,,,,,,,,,,,,,
04/04/2021,Group 1,Northland,1,99,,,,,,,,,,,,,,,,,,
04/04/2021,Group 1,Northland,2,125,,,,,,,,,,,,,,,,,,
04/04/2021,Group 1,Other Sites,2,120,,,,,,,,,,,,,,,,,,
04/04/2021,Group 1,South Canterbury,1,39,,,,,,,,,,,,,,,,,,
04/04/2021,Group 1,South Canterbury,2,5,,,,,,,,,,,,,,,,,,
04/04/2021,Group 1,Southern,1,38,,,,,,,,,,,,,,,,,,
04/04/2021,Group 1,Southern,2,15,,,,,,,,,,,,,,,,,,
04/04/2021,Group 1,Taranaki,1,21,,,,,,,,,,,,,,,,,,
04/04/2021,Group 1,Taranaki,2,66,,,,,,,,,,,,,,,,,,
04/04/2021,Group 1,Waikato,1,76,,,,,,,,,,,,,,,,,,
04/04/2021,Group 1,Waikato,2,187,,,,,,,,,,,,,,,,,,
04/04/2021,Group 2,Auckland Metro,1,7697,,,,,,,,,,,,,,,,,,
04/04/2021,Group 2,Auckland Metro,2,1176,,,,,,,,,,,,,,,,,,
04/04/2021,Group 2,Bay of Plenty,1,354,,,,,,,,,,,,,,,,,,
04/04/2021,Group 2,Bay of Plenty,2,19,,,,,,,,,,,,,,,,,,
04/04/2021,Group 2,Canterbury,1,54,,,,,,,,,,,,,,,,,,
04/04/2021,Group 2,Canterbury,2,19,,,,,,,,,,,,,,,,,,
04/04/2021,Group 2,Capital & Coast and Hutt Valley,1,3477,,,,,,,,,,,,,,,,,,
04/04/2021,Group 2,Capital & Coast and Hutt Valley,2,37,,,,,,,,,,,,,,,,,,
04/04/2021,Group 2,Hawke's Bay,1,66,,,,,,,,,,,,,,,,,,
04/04/2021,Group 2,Lakes,1,48,,,,,,,,,,,,,,,,,,
04/04/2021,Group 2,Lakes,2,38,,,,,,,,,,,,,,,,,,
04/04/2021,Group 2,MidCentral,1,11,,,,,,,,,,,,,,,,,,
04/04/2021,Group 2,Nelson Marlborough,1,1257,,,,,,,,,,,,,,,,,,
04/04/2021,Group 2,Nelson Marlborough,2,90,,,,,,,,,,,,,,,,,,
04/04/2021,Group 2,Northland,1,190,,,,,,,,,,,,,,,,,,
04/04/2021,Group 2,Northland,2,7,,,,,,,,,,,,,,,,,,
04/04/2021,Group 2,Other Sites,1,1210,,,,,,,,,,,,,,,,,,
04/04/2021,Group 2,Other Sites,2,70,,,,,,,,,,,,,,,,,,
04/04/2021,Group 2,South Canterbury,1,469,,,,,,,,,,,,,,,,,,
04/04/2021,Group 2,South Canterbury,2,12,,,,,,,,,,,,,,,,,,
04/04/2021,Group 2,Southern,1,2423,,,,,,,,,,,,,,,,,,
04/04/2021,Group 2,Taranaki,1,303,,,,,,,,,,,,,,,,,,
04/04/2021,Group 2,Taranaki,2,88,,,,,,,,,,,,,,,,,,
04/04/2021,Group 2,Waikato,1,869,,,,,,,,,,,,,,,,,,
04/04/2021,Group 2,Waikato,2,384,,,,,,,,,,,,,,,,,,
04/04/2021,Group 2,Whanganui,1,90,,,,,,,,,,,,,,,,,,
04/04/2021,Group 3,Capital & Coast and Hutt Valley,1,21,,,,,,,,,,,,,,,,,,
04/04/2021,Group 3,Nelson Marlborough,1,678,,,,,,,,,,,,,,,,,,
04/04/2021,Group 3,Southern,1,12,,,,,,,,,,,,,,,,,,
11/04/2021,Group 1,Auckland Metro,1,1672,,,,,,,,,,,,,,,,,,
11/04/2021,Group 1,Auckland Metro,2,3256,,,,,,,,,,,,,,,,,,
11/04/2021,Group 1,Bay of Plenty,1,79,,,,,,,,,,,,,,,,,,
11/04/2021,Group 1,Bay of Plenty,2,166,,,,,,,,,,,,,,,,,,
11/04/2021,Group 1,Canterbury,1,684,,,,,,,,,,,,,,,,,,
11/04/2021,Group 1,Canterbury,2,702,,,,,,,,,,,,,,,,,,
11/04/2021,Group 1,Capital & Coast and Hutt Valley,1,548,,,,,,,,,,,,,,,,,,
11/04/2021,Group 1,Capital & Coast and Hutt Valley,2,51,,,,,,,,,,,,,,,,,,
11/04/2021,Group 1,Hawke's Bay,1,22,,,,,,,,,,,,,,,,,,
11/04/2021,Group 1,Hawke's Bay,2,38,,,,,,,,,,,,,,,,,,
11/04/2021,Group 1,Lakes,1,98,,,,,,,,,,,,,,,,,,
11/04/2021,Group 1,Lakes,2,114,,,,,,,,,,,,,,,,,,
11/04/2021,Group 1,MidCentral,1,164,,,,,,,,,,,,,,,,,,
11/04/2021,Group 1,Nelson Marlborough,1,75,,,,,,,,,,,,,,,,,,
11/04/2021,Group 1,Nelson Marlborough,2,99,,,,,,,,,,,,,,,,,,
11/04/2021,Group 1,Northland,1,38,,,,,,,,,,,,,,,,,,
11/04/2021,Group 1,Northland,2,60,,,,,,,,,,,,,,,,,,
11/04/2021,Group 1,Other Sites,2,28,,,,,,,,,,,,,,,,,,
11/04/2021,Group 1,South Canterbury,1,55,,,,,,,,,,,,,,,,,,
11/04/2021,Group 1,South Canterbury,2,61,,,,,,,,,,,,,,,,,,
11/04/2021,Group 1,Southern,1,496,,,,,,,,,,,,,,,,,,
11/04/2021,Group 1,Southern,2,7,,,,,,,,,,,,,,,,,,
11/04/2021,Group 1,Taranaki,1,11,,,,,,,,,,,,,,,,,,
11/04/2021,Group 1,Taranaki,2,67,,,,,,,,,,,,,,,,,,
11/04/2021,Group 1,Waikato,1,63,,,,,,,,,,,,,,,,,,
11/04/2021,Group 1,Waikato,2,95,,,,,,,,,,,,,,,,,,
11/04/2021,Group 1,West Coast,1,6,,,,,,,,,,,,,,,,,,
11/04/2021,Group 2,Auckland Metro,1,9525,,,,,,,,,,,,,,,,,,
11/04/2021,Group 2,Auckland Metro,2,608,,,,,,,,,,,,,,,,,,
11/04/2021,Group 2,Bay of Plenty,1,578,,,,,,,,,,,,,,,,,,
11/04/2021,Group 2,Bay of Plenty,2,15,,,,,,,,,,,,,,,,,,
11/04/2021,Group 2,Canterbury,1,72,,,,,,,,,,,,,,,,,,
11/04/2021,Group 2,Canterbury,2,26,,,,,,,,,,,,,,,,,,
11/04/2021,Group 2,Capital & Coast and Hutt Valley,1,3618,,,,,,,,,,,,,,,,,,
11/04/2021,Group 2,Capital & Coast and Hutt Valley,2,195,,,,,,,,,,,,,,,,,,
11/04/2021,Group 2,Hawke's Bay,1,509,,,,,,,,,,,,,,,,,,
11/04/2021,Group 2,Hawke's Bay,2,26,,,,,,,,,,,,,,,,,,
11/04/2021,Group 2,Lakes,1,570,,,,,,,,,,,,,,,,,,
11/04/2021,Group 2,Lakes,2,49,,,,,,,,,,,,,,,,,,
11/04/2021,Group 2,MidCentral,1,13,,,,,,,,,,,,,,,,,,
11/04/2021,Group 2,Nelson Marlborough,1,907,,,,,,,,,,,,,,,,,,
11/04/2021,Group 2,Nelson Marlborough,2,673,,,,,,,,,,,,,,,,,,
11/04/2021,Group 2,Northland,1,1594,,,,,,,,,,,,,,,,,,
11/04/2021,Group 2,Northland,2,5,,,,,,,,,,,,,,,,,,
11/04/2021,Group 2,Other Sites,1,421,,,,,,,,,,,,,,,,,,
11/04/2021,Group 2,Other Sites,2,2108,,,,,,,,,,,,,,,,,,
11/04/2021,Group 2,South Canterbury,1,291,,,,,,,,,,,,,,,,,,
11/04/2021,Group 2,South Canterbury,2,140,,,,,,,,,,,,,,,,,,
11/04/2021,Group 2,Southern,1,2275,,,,,,,,,,,,,,,,,,
11/04/2021,Group 2,Taranaki,1,169,,,,,,,,,,,,,,,,,,
11/04/2021,Group 2,Taranaki,2,83,,,,,,,,,,,,,,,,,,
11/04/2021,Group 2,Waikato,1,1109,,,,,,,,,,,,,,,,,,
11/04/2021,Group 2,Waikato,2,664,,,,,,,,,,,,,,,,,,
11/04/2021,Group 2,Wairarapa,1,115,,,,,,,,,,,,,,,,,,
11/04/2021,Group 2,West Coast,1,28,,,,,,,,,,,,,,,,,,
11/04/2021,Group 2,Whanganui,1,177,,,,,,,,,,,,,,,,,,
11/04/2021,Group 3,Auckland Metro,1,6,,,,,,,,,,,,,,,,,,
11/04/2021,Group 3,Capital & Coast and Hutt Valley,1,24,,,,,,,,,,,,,,,,,,
11/04/2021,Group 3,Nelson Marlborough,1,1138,,,,,,,,,,,,,,,,,,
11/04/2021,Group 3,Other Sites,1,12,,,,,,,,,,,,,,,,,,
11/04/2021,Group 3,Southern,1,17,,,,,,,,,,,,,,,,,,
18/04/2021,Group 1,Auckland Metro,1,2027,,,,,,,,,,,,,,,,,,
18/04/2021,Group 1,Auckland Metro,2,2506,,,,,,,,,,,,,,,,,,
18/04/2021,Group 1,Bay of Plenty,1,58,,,,,,,,,,,,,,,,,,
18/04/2021,Group 1,Bay of Plenty,2,250,,,,,,,,,,,,,,,,,,
18/04/2021,Group 1,Canterbury,1,1163,,,,,,,,,,,,,,,,,,
18/04/2021,Group 1,Canterbury,2,361,,,,,,,,,,,,,,,,,,
18/04/2021,Group 1,Capital & Coast and Hutt Valley,1,507,,,,,,,,,,,,,,,,,,
18/04/2021,Group 1,Capital & Coast and Hutt Valley,2,207,,,,,,,,,,,,,,,,,,
18/04/2021,Group 1,Hawke's Bay,1,90,,,,,,,,,,,,,,,,,,
18/04/2021,Group 1,Hawke's Bay,2,50,,,,,,,,,,,,,,,,,,
18/04/2021,Group 1,Lakes,1,169,,,,,,,,,,,,,,,,,,
18/04/2021,Group 1,Lakes,2,52,,,,,,,,,,,,,,,,,,
18/04/2021,Group 1,MidCentral,1,118,,,,,,,,,,,,,,,,,,
18/04/2021,Group 1,MidCentral,2,7,,,,,,,,,,,,,,,,,,
18/04/2021,Group 1,Nelson Marlborough,1,60,,,,,,,,,,,,,,,,,,
18/04/2021,Group 1,Nelson Marlborough,2,61,,,,,,,,,,,,,,,,,,
18/04/2021,Group 1,Northland,1,36,,,,,,,,,,,,,,,,,,
18/04/2021,Group 1,Northland,2,85,,,,,,,,,,,,,,,,,,
18/04/2021,Group 1,Other Sites,2,52,,,,,,,,,,,,,,,,,,
18/04/2021,Group 1,South Canterbury,1,30,,,,,,,,,,,,,,,,,,
18/04/2021,Group 1,South Canterbury,2,7,,,,,,,,,,,,,,,,,,
18/04/2021,Group 1,Southern,1,849,,,,,,,,,,,,,,,,,,
18/04/2021,Group 1,Southern,2,345,,,,,,,,,,,,,,,,,,
18/04/2021,Group 1,Tairawhiti,1,10,,,,,,,,,,,,,,,,,,
18/04/2021,Group 1,Tairawhiti,2,42,,,,,,,,,,,,,,,,,,
18/04/2021,Group 1,Taranaki,1,19,,,,,,,,,,,,,,,,,,
18/04/2021,Group 1,Taranaki,2,72,,,,,,,,,,,,,,,,,,
18/04/2021,Group 1,Waikato,1,91,,,,,,,,,,,,,,,,,,
18/04/2021,Group 1,Waikato,2,157,,,,,,,,,,,,,,,,,,
18/04/2021,Group 2,Auckland Metro,1,10909,,,,,,,,,,,,,,,,,,
18/04/2021,Group 2,Auckland Metro,2,970,,,,,,,,,,,,,,,,,,
18/04/2021,Group 2,Bay of Plenty,1,914,,,,,,,,,,,,,,,,,,
18/04/2021,Group 2,Bay of Plenty,2,64,,,,,,,,,,,,,,,,,,
18/04/2021,Group 2,Canterbury,1,4344,,,,,,,,,,,,,,,,,,
18/04/2021,Group 2,Canterbury,2,184,,,,,,,,,,,,,,,,,,
18/04/2021,Group 2,Capital & Coast and Hutt Valley,1,3197,,,,,,,,,,,,,,,,,,
18/04/2021,Group 2,Capital & Coast and Hutt Valley,2,855,,,,,,,,,,,,,,,,,,
18/04/2021,Group 2,Hawke's Bay,1,847,,,,,,,,,,,,,,,,,,
18/04/2021,Group 2,Hawke's Bay,2,267,,,,,,,,,,,,,,,,,,
18/04/2021,Group 2,Lakes,1,573,,,,,,,,,,,,,,,,,,
18/04/2021,Group 2,Lakes,2,105,,,,,,,,,,,,,,,,,,
18/04/2021,Group 2,MidCentral,1,209,,,,,,,,,,,,,,,,,,
18/04/2021,Group 2,MidCentral,2,11,,,,,,,,,,,,,,,,,,
18/04/2021,Group 2,Nelson Marlborough,1,1219,,,,,,,,,,,,,,,,,,
18/04/2021,Group 2,Nelson Marlborough,2,469,,,,,,,,,,,,,,,,,,
18/04/2021,Group 2,Northland,1,1540,,,,,,,,,,,,,,,,,,
18/04/2021,Group 2,Northland,2,28,,,,,,,,,,,,,,,,,,
18/04/2021,Group 2,Other Sites,1,239,,,,,,,,,,,,,,,,,,
18/04/2021,Group 2,Other Sites,2,2818,,,,,,,,,,,,,,,,,,
18/04/2021,Group 2,South Canterbury,1,607,,,,,,,,,,,,,,,,,,
18/04/2021,Group 2,South Canterbury,2,37,,,,,,,,,,,,,,,,,,
18/04/2021,Group 2,Southern,1,3898,,,,,,,,,,,,,,,,,,
18/04/2021,Group 2,Southern,2,116,,,,,,,,,,,,,,,,,,
18/04/2021,Group 2,Tairawhiti,1,672,,,,,,,,,,,,,,,,,,
18/04/2021,Group 2,Tairawhiti,2,46,,,,,,,,,,,,,,,,,,
18/04/2021,Group 2,Taranaki,1,262,,,,,,,,,,,,,,,,,,
18/04/2021,Group 2,Taranaki,2,65,,,,,,,,,,,,,,,,,,
18/04/2021,Group 2,Waikato,1,1932,,,,,,,,,,,,,,,,,,
18/04/2021,Group 2,Waikato,2,759,,,,,,,,,,,,,,,,,,
18/04/2021,Group 2,Wairarapa,1,473,,,,,,,,,,,,,,,,,,
18/04/2021,Group 2,West Coast,1,127,,,,,,,,,,,,,,,,,,
18/04/2021,Group 2,Whanganui,1,509,,,,,,,,,,,,,,,,,,
18/04/2021,Group 3,Auckland Metro,1,20,,,,,,,,,,,,,,,,,,
18/04/2021,Group 3,Canterbury,1,20,,,,,,,,,,,,,,,,,,
18/04/2021,Group 3,Capital & Coast and Hutt Valley,1,24,,,,,,,,,,,,,,,,,,
18/04/2021,Group 3,MidCentral,1,22,,,,,,,,,,,,,,,,,,
18/04/2021,Group 3,Nelson Marlborough,1,611,,,,,,,,,,,,,,,,,,
18/04/2021,Group 3,Northland,1,40,,,,,,,,,,,,,,,,,,
18/04/2021,Group 3,Southern,1,140,,,,,,,,,,,,,,,,,,
18/04/2021,Group 3,Waikato,1,29,,,,,,,,,,,,,,,,,,
