DHB of residence,Ethnic group,Age group,First dose administered,Second dose administered,Population,First dose uptake per 1000 people,Second dose uptake per 1000 people,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,Maori,55-59,"2,121","1,499","2,887",735,519,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,Maori,60-64,"1,791","1,374","2,181",821,630,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,Maori,65+,"2,917","2,431","3,338",874,728,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,Pacific Peoples,12-15,723,0,"2,361",306,0,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,Pacific Peoples,16-19,930,290,"2,471",376,117,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,Pacific Peoples,20-24,"1,119",424,"3,217",348,132,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,Pacific Peoples,25-29,"1,009",426,"2,930",344,145,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,Pacific Peoples,30-34,995,398,"2,691",370,148,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,Pacific Peoples,35-39,979,403,"2,333",420,173,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,Pacific Peoples,40-44,"1,139",494,"2,304",494,214,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,Pacific Peoples,45-49,"1,319",618,"2,269",581,272,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,Pacific Peoples,50-54,"1,391",674,"2,153",646,313,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,Pacific Peoples,55-59,"1,410",959,"1,818",776,528,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,Pacific Peoples,60-64,"1,190",869,"1,440",826,603,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,Pacific Peoples,65+,"2,568","2,155","3,084",833,699,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,Unknown,12-15,17,0,41,415,0,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,Unknown,16-19,41,12,48,854,250,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,Unknown,20-24,56,26,88,636,295,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,Unknown,25-29,120,49,170,706,288,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,Unknown,30-34,180,68,193,933,352,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,Unknown,35-39,195,57,261,747,218,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,Unknown,40-44,205,69,231,887,299,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,Unknown,45-49,195,66,252,774,262,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,Unknown,50-54,244,67,258,946,260,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,Unknown,55-59,276,103,284,972,363,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,Unknown,60-64,291,125,305,954,410,,,,,,,,,,,,,,,
Capital & Coast and Hutt Valley,Unknown,65+,630,347,655,962,530,,,,,,,,,,,,,,,
Hawkes Bay,Asian,12-15,176,0,419,420,0,,,,,,,,,,,,,,,
Hawkes Bay,Asian,16-19,139,14,320,434,44,,,,,,,,,,,,,,,
Hawkes Bay,Asian,20-24,217,73,382,568,191,,,,,,,,,,,,,,,
Hawkes Bay,Asian,25-29,596,237,898,664,264,,,,,,,,,,,,,,,
Hawkes Bay,Asian,30-34,804,351,"1,111",724,316,,,,,,,,,,,,,,,
Hawkes Bay,Asian,35-39,629,215,801,785,268,,,,,,,,,,,,,,,
Hawkes Bay,Asian,40-44,504,153,663,760,231,,,,,,,,,,,,,,,
Hawkes Bay,Asian,45-49,366,97,484,756,200,,,,,,,,,,,,,,,
Hawkes Bay,Asian,50-54,274,76,359,763,212,,,,,,,,,,,,,,,
Hawkes Bay,Asian,55-59,262,95,319,821,298,,,,,,,,,,,,,,,
Hawkes Bay,Asian,60-64,231,133,272,849,489,,,,,,,,,,,,,,,
Hawkes Bay,Asian,65+,462,317,554,834,572,,,,,,,,,,,,,,,
Hawkes Bay,European or Other,12-15,"1,871",0,"5,269",355,0,,,,,,,,,,,,,,,
Hawkes Bay,European or Other,16-19,"1,720",281,"4,636",371,61,,,,,,,,,,,,,,,
Hawkes Bay,European or Other,20-24,"1,493",520,"4,934",303,105,,,,,,,,,,,,,,,
Hawkes Bay,European or Other,25-29,"1,665",694,"5,596",298,124,,,,,,,,,,,,,,,
Hawkes Bay,European or Other,30-34,"2,140",694,"5,741",373,121,,,,,,,,,,,,,,,
Hawkes Bay,European or Other,35-39,"2,346",728,"5,745",408,127,,,,,,,,,,,,,,,
Hawkes Bay,European or Other,40-44,"3,118","1,002","6,304",495,159,,,,,,,,,,,,,,,
Hawkes Bay,European or Other,45-49,"4,132","1,412","7,832",528,180,,,,,,,,,,,,,,,
Hawkes Bay,European or Other,50-54,"5,372","1,816","8,026",669,226,,,,,,,,,,,,,,,
Hawkes Bay,European or Other,55-59,"6,423","2,681","8,913",721,301,,,,,,,,,,,,,,,
Hawkes Bay,European or Other,60-64,"7,017","3,737","8,488",827,440,,,,,,,,,,,,,,,
Hawkes Bay,European or Other,65+,"25,242","20,309","28,007",901,725,,,,,,,,,,,,,,,
Hawkes Bay,Maori,12-15,711,0,"3,714",191,0,,,,,,,,,,,,,,,
Hawkes Bay,Maori,16-19,717,159,"3,186",225,50,,,,,,,,,,,,,,,
Hawkes Bay,Maori,20-24,645,227,"3,612",179,63,,,,,,,,,,,,,,,
Hawkes Bay,Maori,25-29,651,244,"3,419",190,71,,,,,,,,,,,,,,,
