sa2_code,sa2,dhbresidence,ethnicity_priority,population,partially_vaccinated,fully_vaccinated,eligible_for_booster,boosted
109700,Kaiwaka,Northland,Maori,424,337,311,185,97
109700,Kaiwaka,Northland,Pacific Peoples,27,28,28,18,10
109800,Mangawhai Rural,Northland,Maori,178,142,136,86,40
109800,Mangawhai Rural,Northland,Pacific Peoples,32,27,27,19,9
109900,Mangawhai Heads,Northland,Maori,163,146,139,96,54
109900,Mangawhai Heads,Northland,Pacific Peoples,35,34,33,26,15
110100,Mangawhai,Northland,Maori,70,63,62,39,17
110100,Mangawhai,Northland,Pacific Peoples,13,12,12,9,7
110200,Okahukura Peninsula,Waitemata,Maori,174,148,143,90,35
110200,Okahukura Peninsula,Waitemata,Pacific Peoples,26,23,23,14,7
110400,Cape Rodney,Waitemata,Maori,364,323,317,225,116
110400,Cape Rodney,Waitemata,Pacific Peoples,50,43,40,30,11
110500,Wellsford,Waitemata,Maori,290,235,222,137,60
110500,Wellsford,Waitemata,Pacific Peoples,64,57,56,46,10
110700,South Head,Waitemata,Maori,361,314,303,213,102
110700,South Head,Waitemata,Pacific Peoples,52,42,39,28,13
110800,Kaipara Hills,Waitemata,Maori,258,225,213,138,60
110800,Kaipara Hills,Waitemata,Pacific Peoples,13,15,15,10,5
110900,Dome Valley-Matakana,Waitemata,Maori,79,67,64,43,22
110900,Dome Valley-Matakana,Waitemata,Pacific Peoples,23,23,23,20,10
111100,Warkworth West,Waitemata,Maori,147,130,124,82,38
111100,Warkworth West,Waitemata,Pacific Peoples,87,99,98,73,40
111200,Puhoi Valley,Waitemata,Maori,194,176,171,106,45
111200,Puhoi Valley,Waitemata,Pacific Peoples,59,64,63,50,13
111300,Warkworth East,Waitemata,Maori,193,174,164,110,55
111300,Warkworth East,Waitemata,Pacific Peoples,160,195,190,151,48
111400,Sandspit,Waitemata,Maori,28,25,24,17,10
111400,Sandspit,Waitemata,Pacific Peoples,14,16,16,13,9
111500,Tawharanui Peninsula,Waitemata,Maori,79,71,70,58,31
111500,Tawharanui Peninsula,Waitemata,Pacific Peoples,30,74,72,67,46
111600,Te Kuru,Waitemata,Maori,146,140,136,93,48
111600,Te Kuru,Waitemata,Pacific Peoples,27,28,28,13,4
111700,Snells Beach,Waitemata,Maori,231,217,210,135,87
111700,Snells Beach,Waitemata,Pacific Peoples,104,109,106,73,24
111800,Barrier Islands,Auckland,Maori,169,135,131,100,69
111800,Barrier Islands,Auckland,Pacific Peoples,10,6,5,5,5
111900,Algies Bay-Scotts Landing,Waitemata,Maori,43,47,45,31,19
111900,Algies Bay-Scotts Landing,Waitemata,Pacific Peoples,17,14,14,12,9
112100,Wainui-Waiwera,Waitemata,Maori,96,90,88,68,39
112100,Wainui-Waiwera,Waitemata,Pacific Peoples,16,13,13,11,5
112200,Parakai,Waitemata,Maori,190,176,167,91,44
112200,Parakai,Waitemata,Pacific Peoples,29,27,26,18,14
112300,Helensville Rural,Waitemata,Maori,104,98,97,70,39
112300,Helensville Rural,Waitemata,Pacific Peoples,38,35,33,21,11
112400,Helensville,Waitemata,Maori,409,363,342,227,119
112400,Helensville,Waitemata,Pacific Peoples,102,111,109,83,45
112500,Waitoki,Waitemata,Maori,59,53,53,37,22
112500,Waitoki,Waitemata,Pacific Peoples,17,13,13,7,3
112600,Waikoukou Valley,Waitemata,Maori,86,85,82,55,26
112600,Waikoukou Valley,Waitemata,Pacific Peoples,22,19,18,15,10
112700,Orewa North,Waitemata,Maori,173,165,163,118,74
112700,Orewa North,Waitemata,Pacific Peoples,62,58,57,48,31
112800,Hatfields Beach,Waitemata,Maori,102,98,97,69,43
112800,Hatfields Beach,Waitemata,Pacific Peoples,20,18,18,14,4
112900,Orewa South,Waitemata,Maori,130,123,118,90,56
112900,Orewa South,Waitemata,Pacific Peoples,66,57,57,48,30
113000,Orewa Central,Waitemata,Maori,148,141,137,107,72
113000,Orewa Central,Waitemata,Pacific Peoples,69,58,58,48,24
113100,Millwater North,Waitemata,Maori,74,74,73,49,36
113100,Millwater North,Waitemata,Pacific Peoples,33,27,27,23,15
113200,Waipatukahu,Waitemata,Maori,157,145,144,110,57
113200,Waipatukahu,Waitemata,Pacific Peoples,26,17,17,13,5
113300,Millwater South,Waitemata,Maori,132,123,120,77,41
113300,Millwater South,Waitemata,Pacific Peoples,23,19,19,14,8
113400,Dairy Flat North,Waitemata,Maori,142,126,118,68,34
113400,Dairy Flat North,Waitemata,Pacific Peoples,33,29,29,18,8
113500,Dairy Flat West,Waitemata,Maori,49,43,43,28,17
113500,Dairy Flat West,Waitemata,Pacific Peoples,15,16,16,14,9
113600,Kingsway,Waitemata,Maori,81,85,82,50,26
113600,Kingsway,Waitemata,Pacific Peoples,45,44,44,32,13
113800,Silverdale Central (Auckland),Waitemata,Maori,50,42,38,28,11
113800,Silverdale Central (Auckland),Waitemata,Pacific Peoples,17,17,17,10,7
113900,Red Beach West,Waitemata,Maori,108,97,93,68,41
113900,Red Beach West,Waitemata,Pacific Peoples,28,24,24,16,13
114000,Red Beach East,Waitemata,Maori,182,182,179,127,72
114000,Red Beach East,Waitemata,Pacific Peoples,52,60,59,41,24
114100,Silverdale South (Auckland),Waitemata,Maori,105,85,82,58,30
114100,Silverdale South (Auckland),Waitemata,Pacific Peoples,18,13,12,10,7
114200,Waimauku,Waitemata,Maori,82,82,79,60,32
114200,Waimauku,Waitemata,Pacific Peoples,23,25,24,15,9
114300,Gulf Islands,Auckland,Maori,2,2,2,2,2
114300,Gulf Islands,Waitemata,Maori,1,0,0,0,0
114400,Vipond,Waitemata,Maori,169,158,151,107,61
114400,Vipond,Waitemata,Pacific Peoples,41,44,44,31,18
114500,Muriwai,Waitemata,Maori,81,80,78,61,29
114500,Muriwai,Waitemata,Pacific Peoples,12,9,9,8,3
114600,Stanmore Bay West,Waitemata,Maori,186,180,173,127,58
114600,Stanmore Bay West,Waitemata,Pacific Peoples,35,35,35,28,19
114700,Kumeu Rural West,Waitemata,Maori,103,105,100,67,37
114700,Kumeu Rural West,Waitemata,Pacific Peoples,68,67,65,45,23
114800,Okura Bush,Waitemata,Maori,63,56,52,36,11
114800,Okura Bush,Waitemata,Pacific Peoples,17,21,20,14,5
114900,Whangaparoa Central,Waitemata,Maori,245,219,217,153,67
114900,Whangaparoa Central,Waitemata,Pacific Peoples,49,44,44,25,16
115000,Kumeu-Huapai,Waitemata,Maori,235,240,238,163,97
115000,Kumeu-Huapai,Waitemata,Pacific Peoples,147,143,140,110,71
115100,Stanmore Bay East,Waitemata,Maori,211,193,188,129,58
115100,Stanmore Bay East,Waitemata,Pacific Peoples,39,35,34,25,13
115200,Manly West,Waitemata,Maori,150,143,138,79,41
115200,Manly West,Waitemata,Pacific Peoples,46,44,42,26,11
