DHB of residence,Ethnic group,Age group,Gender,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 Received,Eligible for booster 2,Booster 2 Received,Population
Bay of Plenty,Asian,70-74,Female,178,178,176,142,135,48,196
Bay of Plenty,Asian,70-74,Male,132,129,129,109,105,39,150
Bay of Plenty,Asian,75-79,Female,82,82,81,63,61,21,82
Bay of Plenty,Asian,75-79,Male,79,79,79,60,58,12,79
Bay of Plenty,Asian,80-84,Female,48,48,48,38,35,13,55
Bay of Plenty,Asian,80-84,Male,49,49,48,38,37,13,42
Bay of Plenty,Asian,85-89,Female,15,15,15,9,9,<5,13
Bay of Plenty,Asian,85-89,Male,12,12,12,10,10,<5,17
Bay of Plenty,Asian,90+,Male,7,6,6,5,5,<5,5
Bay of Plenty,European or Other,12-17,Female,4802,4462,"1,599",156,<5,<5,5697
Bay of Plenty,European or Other,12-17,Male,5079,4739,"1,743",139,<5,<5,6047
Bay of Plenty,European or Other,18-24,Female,4541,4490,"4,485","2,130",<5,9,5210
Bay of Plenty,European or Other,18-24,Male,5005,4908,"4,905","1,612",<5,5,5664
Bay of Plenty,European or Other,18-24,Unknown/Other,6,6,6,<5,<5,<5,5
Bay of Plenty,European or Other,25-29,Female,3933,3869,"3,866","1,939",<5,20,4596
Bay of Plenty,European or Other,25-29,Male,3753,3662,"3,660","1,408",<5,9,4413
Bay of Plenty,European or Other,25-29,Unknown/Other,13,13,13,6,<5,<5,9
Bay of Plenty,European or Other,30-34,Female,4876,4791,"4,786","2,691",<5,68,5633
Bay of Plenty,European or Other,30-34,Male,4385,4289,"4,280","1,886",<5,23,5007
Bay of Plenty,European or Other,30-34,Unknown/Other,9,9,9,<5,<5,<5,7
Bay of Plenty,European or Other,35-39,Female,4783,4696,"4,693","2,788",<5,67,5386
Bay of Plenty,European or Other,35-39,Male,4327,4236,"4,233","2,149",<5,46,4817
Bay of Plenty,European or Other,40-44,Female,4430,4370,"4,368","2,870",<5,103,5057
Bay of Plenty,European or Other,40-44,Male,4158,4084,"4,081","2,318",<5,45,4701
Bay of Plenty,European or Other,45-49,Female,4916,4874,"4,873","3,438",<5,152,5663
Bay of Plenty,European or Other,45-49,Male,4672,4609,"4,606","2,928",<5,69,5394
Bay of Plenty,European or Other,5-11,Female,2885,1331,NA,NA,NA,NA,6328
Bay of Plenty,European or Other,5-11,Male,2971,1385,NA,NA,NA,NA,6502
Bay of Plenty,European or Other,50-54,Female,5687,5635,"5,632","4,304","4,139",520,6317
Bay of Plenty,European or Other,50-54,Male,5326,5274,"5,272","3,681","3,552",364,5789
Bay of Plenty,European or Other,55-59,Female,5764,5728,"5,726","4,647","4,485",799,6525
Bay of Plenty,European or Other,55-59,Male,5354,5315,"5,311","4,066","3,919",575,6096
Bay of Plenty,European or Other,60-64,Female,6210,6169,"6,166","5,245","5,092","1,327",6742
Bay of Plenty,European or Other,60-64,Male,5784,5748,"5,744","4,715","4,601",964,6235
Bay of Plenty,European or Other,65-69,Female,6021,5986,"5,982","5,361","5,256","2,224",6539
Bay of Plenty,European or Other,65-69,Male,5589,5562,"5,558","4,890","4,792","1,913",6047
Bay of Plenty,European or Other,70-74,Female,5762,5745,"5,742","5,296","5,199","2,795",6220
Bay of Plenty,European or Other,70-74,Male,5383,5367,"5,366","4,934","4,855","2,503",5806
Bay of Plenty,European or Other,75-79,Female,4905,4892,"4,887","4,569","4,470","2,622",4910
Bay of Plenty,European or Other,75-79,Male,4466,4457,"4,453","4,208","4,121","2,422",4477
Bay of Plenty,European or Other,80-84,Female,3673,3670,"3,668","3,471","3,409","2,103",3699
Bay of Plenty,European or Other,80-84,Male,3112,3107,"3,106","2,964","2,915","1,850",3188
Bay of Plenty,European or Other,85-89,Female,1953,1945,"1,945","1,841","1,809","1,099",1993
Bay of Plenty,European or Other,85-89,Male,1523,1520,"1,520","1,453","1,416",908,1560
Bay of Plenty,European or Other,90+,Female,1270,1266,"1,266","1,210","1,179",659,1363
Bay of Plenty,European or Other,90+,Male,753,752,752,712,701,445,804
Bay of Plenty,Maori,12-17,Female,2924,2635,"1,013",37,<5,<5,3852
Bay of Plenty,Maori,12-17,Male,3004,2657,984,34,<5,<5,4086
Bay of Plenty,Maori,18-24,Female,2964,2812,"2,805",754,<5,<5,3639
Bay of Plenty,Maori,18-24,Male,3057,2859,"2,852",586,<5,5,3710
Bay of Plenty,Maori,25-29,Female,1953,1861,"1,852",608,<5,<5,2517
Bay of Plenty,Maori,25-29,Male,1779,1654,"1,651",357,<5,<5,2317
Bay of Plenty,Maori,30-34,Female,1790,1720,"1,715",641,<5,15,2310
Bay of Plenty,Maori,30-34,Male,1683,1569,"1,565",452,<5,6,2115
Bay of Plenty,Maori,35-39,Female,1642,1584,"1,581",687,<5,16,1975
Bay of Plenty,Maori,35-39,Male,1467,1384,"1,381",463,<5,<5,1803
Bay of Plenty,Maori,40-44,Female,1634,1586,"1,583",820,<5,26,1922
Bay of Plenty,Maori,40-44,Male,1435,1375,"1,375",596,<5,7,1731
Bay of Plenty,Maori,45-49,Female,1625,1588,"1,586",936,<5,36,1893
Bay of Plenty,Maori,45-49,Male,1415,1369,"1,369",700,<5,9,1698
Bay of Plenty,Maori,5-11,Female,1113,403,NA,NA,NA,NA,4654
Bay of Plenty,Maori,5-11,Male,1195,393,NA,NA,NA,NA,5057
Bay of Plenty,Maori,50-54,Female,1642,1605,"1,605","1,061",980,133,1864
Bay of Plenty,Maori,50-54,Male,1431,1385,"1,385",840,796,111,1647
Bay of Plenty,Maori,55-59,Female,1611,1589,"1,583","1,162","1,099",198,1810
Bay of Plenty,Maori,55-59,Male,1329,1307,"1,306",912,863,141,1522
Bay of Plenty,Maori,60-64,Female,1499,1483,"1,481","1,166","1,122",262,1600
Bay of Plenty,Maori,60-64,Male,1267,1249,"1,242","1,004",973,227,1328
Bay of Plenty,Maori,65-69,Female,1189,1174,"1,171",990,962,314,1231
Bay of Plenty,Maori,65-69,Male,944,934,931,809,789,281,988
Bay of Plenty,Maori,70-74,Female,781,773,771,684,668,278,808
Bay of Plenty,Maori,70-74,Male,693,685,680,616,604,233,733
Bay of Plenty,Maori,75-79,Female,459,455,454,401,394,150,467
Bay of Plenty,Maori,75-79,Male,382,380,380,354,343,156,383
Bay of Plenty,Maori,80-84,Female,293,288,287,256,250,111,304
Bay of Plenty,Maori,80-84,Male,200,199,199,186,180,78,194
Bay of Plenty,Maori,85-89,Female,126,125,125,107,106,40,133
Bay of Plenty,Maori,85-89,Male,76,76,76,69,66,28,84
Bay of Plenty,Maori,90+,Female,49,49,49,43,43,18,55
Bay of Plenty,Maori,90+,Male,16,16,16,16,15,7,21
Bay of Plenty,Pacific Peoples,12-17,Female,224,202,65,<5,<5,<5,256
Bay of Plenty,Pacific Peoples,12-17,Male,254,234,86,5,<5,<5,305
Bay of Plenty,Pacific Peoples,18-24,Female,249,244,244,92,<5,<5,292
Bay of Plenty,Pacific Peoples,18-24,Male,429,423,421,155,<5,<5,430
Bay of Plenty,Pacific Peoples,25-29,Female,209,206,204,99,<5,<5,231
Bay of Plenty,Pacific Peoples,25-29,Male,491,482,482,232,<5,<5,453
Bay of Plenty,Pacific Peoples,30-34,Female,199,195,193,103,<5,<5,225
Bay of Plenty,Pacific Peoples,30-34,Male,465,456,456,205,<5,<5,430
Bay of Plenty,Pacific Peoples,35-39,Female,173,165,165,98,<5,<5,173
Bay of Plenty,Pacific Peoples,35-39,Male,465,459,459,221,<5,<5,440
Bay of Plenty,Pacific Peoples,40-44,Female,166,163,163,98,<5,<5,183
Bay of Plenty,Pacific Peoples,40-44,Male,372,366,366,181,<5,<5,341
Bay of Plenty,Pacific Peoples,45-49,Female,160,158,158,106,<5,5,153
Bay of Plenty,Pacific Peoples,45-49,Male,252,250,250,142,<5,<5,225
Bay of Plenty,Pacific Peoples,5-11,Female,151,47,NA,NA,NA,NA,354
Bay of Plenty,Pacific Peoples,5-11,Male,130,45,NA,NA,NA,NA,350
Bay of Plenty,Pacific Peoples,50-54,Female,131,130,130,93,85,16,139
Bay of Plenty,Pacific Peoples,50-54,Male,179,178,178,108,99,6,188
Bay of Plenty,Pacific Peoples,55-59,Female,102,102,102,73,69,12,129
Bay of Plenty,Pacific Peoples,55-59,Male,114,112,112,70,66,8,96
Bay of Plenty,Pacific Peoples,60-64,Female,76,75,74,59,56,13,80
Bay of Plenty,Pacific Peoples,60-64,Male,78,75,75,58,56,13,94
Bay of Plenty,Pacific Peoples,65-69,Female,52,52,51,44,43,17,56
Bay of Plenty,Pacific Peoples,65-69,Male,56,55,55,48,48,24,66
Bay of Plenty,Pacific Peoples,70-74,Female,47,46,46,42,40,14,58
Bay of Plenty,Pacific Peoples,70-74,Male,36,36,36,31,30,13,34
Bay of Plenty,Pacific Peoples,75-79,Female,38,38,38,32,30,13,40
Bay of Plenty,Pacific Peoples,75-79,Male,23,23,23,19,19,8,27
Bay of Plenty,Pacific Peoples,80-84,Female,15,15,15,13,12,5,14
Bay of Plenty,Pacific Peoples,80-84,Male,10,10,10,10,9,<5,12
Bay of Plenty,Unknown,12-17,Female,9,9,<5,<5,<5,<5,7
Bay of Plenty,Unknown,18-24,Female,12,10,10,<5,<5,<5,7
Bay of Plenty,Unknown,18-24,Male,20,19,19,9,<5,<5,18
Bay of Plenty,Unknown,25-29,Female,40,39,39,15,<5,<5,29
Bay of Plenty,Unknown,25-29,Male,63,61,61,28,<5,<5,62
Bay of Plenty,Unknown,30-34,Female,35,35,35,15,<5,<5,23
Bay of Plenty,Unknown,30-34,Male,72,67,67,31,<5,<5,48
Bay of Plenty,Unknown,35-39,Female,17,16,16,12,<5,<5,17
Bay of Plenty,Unknown,35-39,Male,59,57,57,29,<5,<5,28
Bay of Plenty,Unknown,40-44,Female,23,21,21,11,<5,<5,17
Bay of Plenty,Unknown,40-44,Male,52,51,51,29,<5,<5,38
Bay of Plenty,Unknown,45-49,Female,8,7,7,<5,<5,<5,7
Bay of Plenty,Unknown,45-49,Male,44,43,43,26,<5,<5,35
Bay of Plenty,Unknown,45-49,Unknown/Other,7,7,7,6,<5,<5,6
Bay of Plenty,Unknown,50-54,Female,13,13,13,6,6,<5,11
Bay of Plenty,Unknown,50-54,Male,38,38,38,24,22,<5,20
Bay of Plenty,Unknown,55-59,Female,8,8,8,5,<5,<5,9
Bay of Plenty,Unknown,55-59,Male,41,41,41,22,22,<5,34
Bay of Plenty,Unknown,60-64,Female,18,17,17,6,5,<5,14
Bay of Plenty,Unknown,60-64,Male,33,32,32,20,20,<5,22
Bay of Plenty,Unknown,65-69,Male,21,21,21,12,12,<5,13
Bay of Plenty,Unknown,70-74,Female,6,6,6,5,5,<5,7
