SA2 Code 2018,SA2 2018,DHB of residence,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
108000,Pataua,Northland,5-11,196,72,17,NA,NA,37%,9%,NA
108100,Onerahi Park,Northland,12+,"1,412","1,324","1,307","1,194",900,94%,93%,75%
108100,Onerahi Park,Northland,5-11,186,94,33,NA,NA,51%,18%,NA
108200,Sherwood Rise,Northland,12+,"2,025","1,859","1,818","1,576","1,088",92%,90%,69%
108200,Sherwood Rise,Northland,5-11,275,84,12,NA,NA,31%,<5%,NA
108300,Onerahi,Northland,12+,"2,095","1,844","1,804","1,544","1,103",88%,86%,71%
108300,Onerahi,Northland,5-11,248,76,23,NA,NA,31%,9%,NA
108500,Parua Bay,Northland,12+,"2,249","2,093","2,075","1,857","1,482",93%,92%,80%
108500,Parua Bay,Northland,5-11,261,132,33,NA,NA,51%,13%,NA
108600,Bream Bay,Northland,12+,"1,895","1,704","1,668","1,446","1,017",90%,88%,70%
108600,Bream Bay,Northland,5-11,230,84,15,NA,NA,37%,7%,NA
108700,Marsden Bay,Northland,12+,"2,360",Masked,"2,238","2,025","1,614",>95%,95%,80%
108700,Marsden Bay,Northland,5-11,250,102,33,NA,NA,41%,13%,NA
108800,Ruakaka,Northland,12+,"2,356","2,203","2,168","1,928","1,367",94%,92%,71%
108800,Ruakaka,Northland,5-11,248,79,11,NA,NA,32%,<5%,NA
108900,Bream Head,Northland,12+,"1,221","1,130","1,118","1,039",816,93%,92%,79%
108900,Bream Head,Northland,5-11,119,68,8,NA,NA,57%,7%,NA
109000,Waipu,Northland,12+,"2,804","2,465","2,437","2,258","1,720",88%,87%,76%
109000,Waipu,Northland,5-11,221,74,22,NA,NA,33%,10%,NA
109100,Kaipara Coastal,Northland,12+,"3,227","2,647","2,577","2,249","1,414",82%,80%,63%
109100,Kaipara Coastal,Northland,5-11,330,95,19,NA,NA,29%,6%,NA
109200,Maungaru,Northland,12+,"1,555","1,309","1,284","1,138",701,84%,83%,62%
109200,Maungaru,Northland,5-11,165,60,7,NA,NA,36%,<5%,NA
109300,Dargaville,Northland,12+,"4,348","3,724","3,604","3,140","2,098",86%,83%,67%
109300,Dargaville,Northland,5-11,446,126,29,NA,NA,28%,7%,NA
109400,Ruawai-Matakohe,Northland,12+,"2,122","1,842","1,798","1,597","1,100",87%,85%,69%
109400,Ruawai-Matakohe,Northland,5-11,264,73,18,NA,NA,28%,7%,NA
109500,Otamatea (Kaipara District),Northland,12+,"1,558","1,278","1,245","1,113",766,82%,80%,69%
109500,Otamatea (Kaipara District),Northland,5-11,165,50,10,NA,NA,30%,6%,NA
109600,Maungaturoto,Northland,12+,"1,052",954,921,808,552,91%,88%,68%
109600,Maungaturoto,Northland,5-11,144,53,10,NA,NA,37%,7%,NA
109700,Kaiwaka,Northland,12+,"2,003","1,648","1,601","1,413",917,82%,80%,65%
109700,Kaiwaka,Northland,5-11,227,72,14,NA,NA,32%,6%,NA
109800,Mangawhai Rural,Northland,12+,"2,262","1,859","1,823","1,706","1,148",82%,81%,67%
109800,Mangawhai Rural,Northland,5-11,244,86,25,NA,NA,35%,10%,NA
109900,Mangawhai Heads,Northland,12+,"2,130","1,925","1,889","1,761","1,302",90%,89%,74%
109900,Mangawhai Heads,Northland,5-11,189,66,15,NA,NA,35%,8%,NA
110100,Mangawhai,Northland,12+,963,883,873,809,601,92%,91%,74%
