Ethnic group,Age group,Gender,DHB of residence,Population
Asian,45 to 49,Unknown/Other,Counties Manukau,39
Asian,5 to 9,Female,West Coast,39
Pacific Peoples,35 to 39,Female,Tairawhiti,39
Pacific Peoples,55 to 59,Female,Tairawhiti,39
Pacific Peoples,55 to 59,Male,Tairawhiti,39
Pacific Peoples,75 to 79,Female,Southern,39
Asian,15 to 19,Unknown/Other,Auckland,40
Asian,40 to 44,Unknown/Other,Auckland,40
Asian,55 to 59,Male,Tairawhiti,40
European or Other,40 to 44,Unknown/Other,Auckland,40
Maori,85 to 89,Female,Capital and Coast,40
Pacific Peoples,10 to 14,Female,Overseas/Unknown,40
Pacific Peoples,15 to 19,Female,South Canterbury,40
Pacific Peoples,20 to 24,Female,Wairarapa,40
Pacific Peoples,25 to 29,Female,Wairarapa,40
Pacific Peoples,75 to 79,Female,Bay of Plenty,40
Various,80 to 84,Various,Various,40
Asian,40 to 44,Unknown/Other,Counties Manukau,41
Asian,50 to 54,Female,Tairawhiti,41
Pacific Peoples,25 to 29,Female,Tairawhiti,41
Pacific Peoples,80 to 84,Male,Hutt Valley,41
Asian,10 to 14,Female,West Coast,42
Asian,20 to 24,Male,Wairarapa,42
Asian,75 to 79,Female,Northland,42
Asian,80 to 84,Male,Bay of Plenty,42
European or Other,20 to 24,Unknown/Other,Waitemata,42
Pacific Peoples,15 to 19,Male,Tairawhiti,42
Pacific Peoples,45 to 49,Female,Whanganui,42
Pacific Peoples,45 to 49,Male,South Canterbury,42
Pacific Peoples,50 to 54,Female,Taranaki,42
Pacific Peoples,50 to 54,Female,Wairarapa,42
Pacific Peoples,55 to 59,Female,Overseas/Unknown,42
Pacific Peoples,60 to 64,Female,Whanganui,42
Maori,5 to 9,Male,Overseas/Unknown,43
Pacific Peoples,0 to 4,Female,Wairarapa,43
Pacific Peoples,30 to 34,Unknown/Other,Nelson Marlborough,43
Pacific Peoples,50 to 54,Male,Whanganui,43
Asian,55 to 59,Female,Tairawhiti,44
Asian,65 to 69,Male,Nelson Marlborough,44
Asian,80 to 84,Female,Hawke's Bay,44
Maori,85 to 89,Male,Hawke's Bay,44
Pacific Peoples,60 to 64,Male,Overseas/Unknown,44
Pacific Peoples,90+,Male,Counties Manukau,44
Various,5 to 9,Various,Various,44
Various,65 to 69,Various,Various,44
Asian,0 to 4,Female,West Coast,45
Asian,60 to 64,Female,South Canterbury,45
Asian,65 to 69,Female,Overseas/Unknown,45
Asian,90+,Female,Canterbury,45
Maori,70 to 74,Male,South Canterbury,45
Maori,80 to 84,Male,Nelson Marlborough,45
Pacific Peoples,5 to 9,Male,Wairarapa,45
Pacific Peoples,55 to 59,Male,Whanganui,45
Pacific Peoples,60 to 64,Male,Nelson Marlborough,45
Various,35 to 39,Various,Various,45
Various,75 to 79,Various,Various,45
Asian,10 to 14,Male,Wairarapa,46
Asian,60 to 64,Female,Wairarapa,46
Asian,75 to 79,Male,Southern,46
European or Other,35 to 39,Unknown/Other,Waitemata,46
European or Other,80 to 84,Female,Overseas/Unknown,46
European or Other,80 to 84,Male,Overseas/Unknown,46
Maori,70 to 74,Male,West Coast,46
Pacific Peoples,40 to 44,Female,Overseas/Unknown,46
Pacific Peoples,50 to 54,Female,Whanganui,46
Pacific Peoples,80 to 84,Female,Canterbury,46
Pacific Peoples,80 to 84,Male,Canterbury,46
Various,55 to 59,Various,Various,46
Asian,0 to 4,Male,West Coast,47
Asian,20 to 24,Male,Tairawhiti,47
Asian,25 to 29,Unknown/Other,Waitemata,47
European or Other,20 to 24,Unknown/Other,Capital and Coast,47
Maori,65 to 69,Female,Overseas/Unknown,47
Pacific Peoples,15 to 19,Female,Wairarapa,47
Pacific Peoples,35 to 39,Female,South Canterbury,47
Pacific Peoples,70 to 74,Female,Southern,47
Pacific Peoples,75 to 79,Male,Southern,47
Various,0 to 4,Various,Various,47
Asian,10 to 14,Female,Tairawhiti,48
Asian,20 to 24,Unknown/Other,Counties Manukau,48
Asian,40 to 44,Female,West Coast,48
Asian,45 to 49,Male,Tairawhiti,48
Asian,55 to 59,Female,Wairarapa,48
Asian,70 to 74,Female,Nelson Marlborough,48
Asian,75 to 79,Female,Hawke's Bay,48
Pacific Peoples,0 to 4,Female,Tairawhiti,48
Pacific Peoples,30 to 34,Female,South Canterbury,48
Pacific Peoples,80 to 84,Male,Waikato,48
Various,60 to 64,Various,Various,48
Asian,10 to 14,Female,Wairarapa,49
Asian,40 to 44,Unknown/Other,Waitemata,49
Asian,55 to 59,Male,South Canterbury,49
Asian,75 to 79,Male,Hawke's Bay,49
Asian,90+,Male,Capital and Coast,49
Maori,70 to 74,Female,West Coast,49
Pacific Peoples,0 to 4,Male,Wairarapa,49
Pacific Peoples,20 to 24,Female,South Canterbury,49
Pacific Peoples,5 to 9,Female,Wairarapa,49
Pacific Peoples,50 to 54,Male,Taranaki,49
Various,25 to 29,Various,Various,49
Asian,10 to 14,Male,Overseas/Unknown,50
Asian,5 to 9,Male,West Coast,50
Asian,50 to 54,Female,Wairarapa,50
Asian,85 to 89,Male,Hutt Valley,50
Maori,75 to 79,Male,Wairarapa,50
Pacific Peoples,25 to 29,Female,South Canterbury,50
Pacific Peoples,30 to 34,Male,Wairarapa,50
Pacific Peoples,45 to 49,Female,Taranaki,50
Pacific Peoples,65 to 69,Female,Lakes,50
Pacific Peoples,70 to 74,Female,Hawke's Bay,50
Pacific Peoples,70 to 74,Male,Northland,50
Maori,85 to 89,Male,Counties Manukau,51
Maori,85 to 89,Male,Lakes,51
Maori,85 to 89,Male,Southern,51
Pacific Peoples,10 to 14,Male,Wairarapa,51
Pacific Peoples,40 to 44,Female,South Canterbury,51
Asian,10 to 14,Female,Overseas/Unknown,52
Asian,15 to 19,Female,Wairarapa,52
Asian,45 to 49,Female,Wairarapa,52
Asian,80 to 84,Female,MidCentral,52
Asian,80 to 84,Male,MidCentral,52
Pacific Peoples,0 to 4,Male,Tairawhiti,52
Pacific Peoples,10 to 14,Female,Wairarapa,52
Pacific Peoples,15 to 19,Female,Tairawhiti,52
Pacific Peoples,35 to 39,Female,Whanganui,52
Various,45 to 49,Various,Various,52
Asian,20 to 24,Female,Whanganui,53
European or Other,30 to 34,Unknown/Other,Capital and Coast,53
European or Other,30 to 34,Unknown/Other,Waitemata,53
Maori,80 to 84,Female,Nelson Marlborough,53
Maori,85 to 89,Female,Auckland,53
Maori,85 to 89,Female,Southern,53
Pacific Peoples,45 to 49,Female,Overseas/Unknown,53
Pacific Peoples,80 to 84,Female,Waikato,53
Various,10 to 14,Various,Various,53
Asian,50 to 54,Male,Whanganui,54
Asian,65 to 69,Male,Taranaki,54
Asian,70 to 74,Male,Northland,54
European or Other,15 to 19,Unknown/Other,Capital and Coast,54
Maori,80 to 84,Male,Hutt Valley,54
Pacific Peoples,70 to 74,Male,MidCentral,54
Pacific Peoples,90+,Female,Waitemata,54
Various,50 to 54,Various,Various,54
Asian,80 to 84,Female,Bay of Plenty,55
Maori,85 to 89,Female,Canterbury,55
Maori,90+,Female,Bay of Plenty,55
Pacific Peoples,35 to 39,Female,Overseas/Unknown,55
Pacific Peoples,35 to 39,Male,Wairarapa,55
Asian,0 to 4,Female,Overseas/Unknown,56
Asian,25 to 29,Unknown/Other,Counties Manukau,56
Asian,30 to 34,Unknown/Other,Counties Manukau,56
Asian,55 to 59,Female,South Canterbury,56
European or Other,25 to 29,Unknown/Other,Capital and Coast,56
Pacific Peoples,15 to 19,Male,South Canterbury,56
Pacific Peoples,15 to 19,Male,Wairarapa,56
Pacific Peoples,20 to 24,Female,Taranaki,56
Pacific Peoples,20 to 24,Male,Wairarapa,56
Pacific Peoples,20 to 24,Unknown/Other,Nelson Marlborough,56
Pacific Peoples,40 to 44,Female,Whanganui,56
Pacific Peoples,65 to 69,Female,Bay of Plenty,56
Pacific Peoples,65 to 69,Male,Lakes,56
Asian,15 to 19,Male,Wairarapa,57
Asian,5 to 9,Female,Tairawhiti,57
Asian,70 to 74,Female,Taranaki,57
Maori,85 to 89,Female,Tairawhiti,57
Pacific Peoples,10 to 14,Female,South Canterbury,57
Pacific Peoples,25 to 29,Female,Taranaki,57
Asian,10 to 14,Male,Tairawhiti,58
Asian,45 to 49,Female,Tairawhiti,58
Asian,55 to 59,Male,Whanganui,58
Maori,65 to 69,Male,Overseas/Unknown,58
Maori,80 to 84,Male,Whanganui,58
Pacific Peoples,10 to 14,Male,Tairawhiti,58
Pacific Peoples,45 to 49,Male,Whanganui,58
Pacific Peoples,5 to 9,Male,Tairawhiti,58
Pacific Peoples,50 to 54,Female,Nelson Marlborough,58
Pacific Peoples,70 to 74,Female,Bay of Plenty,58
Pacific Peoples,80 to 84,Female,Hutt Valley,58
Asian,20 to 24,Female,South Canterbury,59
Asian,40 to 44,Male,West Coast,59
Asian,45 to 49,Female,West Coast,59
Asian,5 to 9,Male,Tairawhiti,59
Maori,65 to 69,Male,West Coast,59
Pacific Peoples,15 to 19,Female,Overseas/Unknown,59
Pacific Peoples,25 to 29,Male,Wairarapa,59
Pacific Peoples,70 to 74,Male,Southern,59
Maori,70 to 74,Female,South Canterbury,60
Pacific Peoples,35 to 39,Male,Tairawhiti,60
Pacific Peoples,40 to 44,Male,Taranaki,60
Pacific Peoples,45 to 49,Male,Taranaki,60
Pacific Peoples,50 to 54,Male,Tairawhiti,60
Pacific Peoples,85 to 89,Female,Capital and Coast,60
Various,15 to 19,Various,Various,60
Asian,35 to 39,Unknown/Other,Auckland,61
Asian,60 to 64,Female,Whanganui,61
Asian,25 to 29,Unknown/Other,Canterbury,62
Asian,70 to 74,Male,Lakes,62
Asian,90+,Female,Capital and Coast,62
European or Other,25 to 29,Unknown/Other,Waitemata,62
Maori,65 to 69,Male,South Canterbury,62
Maori,80 to 84,Male,Taranaki,62
Maori,85 to 89,Female,Waitemata,62
Pacific Peoples,25 to 29,Female,Overseas/Unknown,62
Pacific Peoples,70 to 74,Female,Northland,62
Asian,25 to 29,Female,Wairarapa,63
Asian,45 to 49,Male,Wairarapa,63
Asian,45 to 49,Male,Whanganui,63
Asian,70 to 74,Male,Hawke's Bay,63
Pacific Peoples,20 to 24,Male,Tairawhiti,63
Pacific Peoples,55 to 59,Female,Nelson Marlborough,63
Pacific Peoples,65 to 69,Female,Northland,63
Asian,30 to 34,Unknown/Other,Waitemata,64
Pacific Peoples,25 to 29,Unknown/Other,Nelson Marlborough,64
Pacific Peoples,45 to 49,Male,Tairawhiti,64
Pacific Peoples,70 to 74,Male,Hawke's Bay,64
European or Other,35 to 39,Unknown/Other,Auckland,65
Maori,60 to 64,Female,Overseas/Unknown,65
Maori,65 to 69,Female,West Coast,65
Asian,40 to 44,Female,Tairawhiti,66
Asian,60 to 64,Male,Overseas/Unknown,66
Maori,75 to 79,Female,Wairarapa,66
Maori,85 to 89,Female,MidCentral,66
Pacific Peoples,20 to 24,Female,Overseas/Unknown,66
Pacific Peoples,35 to 39,Female,Taranaki,66
Pacific Peoples,65 to 69,Male,Bay of Plenty,66
Asian,40 to 44,Male,Tairawhiti,67
Maori,90+,Female,Northland,67
Pacific Peoples,10 to 14,Male,South Canterbury,67
Pacific Peoples,30 to 34,Female,Overseas/Unknown,67
Pacific Peoples,40 to 44,Female,Taranaki,67
Pacific Peoples,40 to 44,Male,Whanganui,67
Asian,0 to 4,Female,Wairarapa,68
Asian,25 to 29,Male,West Coast,68
Asian,75 to 79,Female,Southern,68
Pacific Peoples,0 to 4,Female,South Canterbury,68
Pacific Peoples,20 to 24,Male,South Canterbury,68
Pacific Peoples,35 to 39,Male,Taranaki,68
Pacific Peoples,60 to 64,Male,Lakes,68
Asian,20 to 24,Unknown/Other,Auckland,69
Asian,60 to 64,Male,Taranaki,69
Asian,65 to 69,Male,Northland,69
Asian,70 to 74,Female,Lakes,69
European or Other,30 to 34,Unknown/Other,Southern,69
Pacific Peoples,25 to 29,Female,Whanganui,69
Pacific Peoples,40 to 44,Male,South Canterbury,69
Pacific Peoples,70 to 74,Female,MidCentral,69
Asian,60 to 64,Female,Overseas/Unknown,70
European or Other,20 to 24,Unknown/Other,Southern,70
Maori,80 to 84,Female,Hutt Valley,70
Pacific Peoples,15 to 19,Male,Whanganui,70
Pacific Peoples,55 to 59,Male,Nelson Marlborough,70
Pacific Peoples,85 to 89,Male,Waitemata,70
Various,20 to 24,Various,Various,70
Asian,10 to 14,Female,Whanganui,71
Asian,55 to 59,Male,Overseas/Unknown,71
Asian,65 to 69,Female,Taranaki,71
Asian,85 to 89,Male,Waikato,71
European or Other,5 to 9,Female,Overseas/Unknown,71
Pacific Peoples,65 to 69,Male,MidCentral,71
Asian,55 to 59,Female,Whanganui,72
European or Other,5 to 9,Male,Overseas/Unknown,72
Maori,35 to 39,Female,Overseas/Unknown,72
Maori,90+,Female,Waikato,72
Pacific Peoples,65 to 69,Female,Southern,72
Pacific Peoples,75 to 79,Male,Canterbury,72
Asian,25 to 29,Female,West Coast,73
Asian,85 to 89,Male,Canterbury,73
Maori,80 to 84,Male,Tairawhiti,73
Pacific Peoples,20 to 24,Male,Whanganui,73
Pacific Peoples,30 to 34,Male,Whanganui,73
Pacific Peoples,40 to 44,Male,Tairawhiti,73
Pacific Peoples,60 to 64,Female,Lakes,73
Asian,85 to 89,Female,Hutt Valley,74
European or Other,75 to 79,Female,Overseas/Unknown,74
Maori,80 to 84,Male,Auckland,74
Pacific Peoples,30 to 34,Female,Whanganui,74
Asian,0 to 4,Male,Tairawhiti,75
Asian,20 to 24,Male,South Canterbury,75
Asian,40 to 44,Female,Wairarapa,75
Maori,85 to 89,Female,Lakes,75
Various,85 to 89,Various,Various,75
Asian,50 to 54,Female,South Canterbury,76
Asian,50 to 54,Male,South Canterbury,76
Maori,50 to 54,Female,Overseas/Unknown,76
Pacific Peoples,15 to 19,Female,Taranaki,76
Pacific Peoples,45 to 49,Female,Nelson Marlborough,76
Pacific Peoples,60 to 64,Male,Northland,76
Pacific Peoples,65 to 69,Male,Northland,76
Asian,5 to 9,Female,Wairarapa,77
Asian,65 to 69,Male,Hawke's Bay,78
Maori,85 to 89,Male,Waikato,78
Pacific Peoples,0 to 4,Female,Taranaki,78
Pacific Peoples,10 to 14,Female,Taranaki,78
Pacific Peoples,35 to 39,Male,Whanganui,78
Pacific Peoples,5 to 9,Female,Taranaki,78
Asian,0 to 4,Female,Tairawhiti,79
Asian,75 to 79,Male,Bay of Plenty,79
Asian,85 to 89,Female,Waikato,79
Maori,65 to 69,Female,South Canterbury,79
Maori,80 to 84,Female,Whanganui,79
Pacific Peoples,5 to 9,Male,South Canterbury,79
Pacific Peoples,50 to 54,Female,Lakes,79
Asian,15 to 19,Female,Whanganui,80
Asian,35 to 39,Female,Tairawhiti,80
Asian,5 to 9,Male,Wairarapa,80
Asian,50 to 54,Female,Whanganui,80
European or Other,20 to 24,Unknown/Other,Auckland,80
Maori,70 to 74,Male,Wairarapa,80
Pacific Peoples,15 to 19,Male,Overseas/Unknown,80
Pacific Peoples,20 to 24,Female,Whanganui,80
Pacific Peoples,35 to 39,Male,South Canterbury,80
Pacific Peoples,60 to 64,Female,Bay of Plenty,80
Maori,55 to 59,Female,Overseas/Unknown,81
Pacific Peoples,30 to 34,Female,Taranaki,81
Asian,60 to 64,Male,Nelson Marlborough,82
Asian,65 to 69,Male,Lakes,82
Asian,75 to 79,Female,Bay of Plenty,82
Maori,40 to 44,Female,Overseas/Unknown,82
Pacific Peoples,25 to 29,Male,Whanganui,82
Pacific Peoples,30 to 34,Male,Taranaki,82
Asian,10 to 14,Male,Whanganui,83
Asian,20 to 24,Male,Whanganui,83
European or Other,90+,Male,West Coast,83
Pacific Peoples,0 to 4,Male,Taranaki,83
Pacific Peoples,65 to 69,Male,Hawke's Bay,83
Asian,25 to 29,Female,Tairawhiti,84
Asian,45 to 49,Female,Overseas/Unknown,84
Maori,85 to 89,Male,Bay of Plenty,84
Pacific Peoples,0 to 4,Female,Whanganui,84
Pacific Peoples,45 to 49,Female,Lakes,84
Pacific Peoples,55 to 59,Male,Overseas/Unknown,84
Asian,75 to 79,Male,MidCentral,85
Pacific Peoples,15 to 19,Female,Whanganui,85
Pacific Peoples,25 to 29,Male,Taranaki,85
Asian,60 to 64,Male,Northland,86
Pacific Peoples,25 to 29,Male,Tairawhiti,86
Pacific Peoples,30 to 34,Male,South Canterbury,86
Pacific Peoples,55 to 59,Female,Lakes,86
Pacific Peoples,75 to 79,Female,Canterbury,86
Asian,30 to 34,Male,West Coast,87
Asian,40 to 44,Male,Wairarapa,87
Maori,60 to 64,Male,South Canterbury,87
Maori,85 to 89,Female,Counties Manukau,87
Pacific Peoples,55 to 59,Male,Lakes,87
Pacific Peoples,65 to 69,Female,Hawke's Bay,87
Asian,35 to 39,Female,West Coast,88
Asian,55 to 59,Male,Taranaki,88
Asian,60 to 64,Male,Lakes,88
Maori,45 to 49,Male,West Coast,88
Pacific Peoples,20 to 24,Male,Taranaki,88
Pacific Peoples,85 to 89,Male,Auckland,88
Asian,85 to 89,Male,Capital and Coast,89
Maori,35 to 39,Female,West Coast,89
Maori,75 to 79,Male,Nelson Marlborough,89
Maori,80 to 84,Female,Taranaki,89
Maori,80 to 84,Male,MidCentral,89
Pacific Peoples,40 to 44,Female,Nelson Marlborough,89
Pacific Peoples,60 to 64,Female,Northland,89
Pacific Peoples,65 to 69,Female,MidCentral,89
Maori,35 to 39,Male,West Coast,90
Pacific Peoples,75 to 79,Male,Waikato,90
Asian,70 to 74,Male,Southern,91
Pacific Peoples,0 to 4,Male,South Canterbury,91
Pacific Peoples,50 to 54,Male,Lakes,91
Asian,55 to 59,Female,Overseas/Unknown,92
Maori,80 to 84,Male,Capital and Coast,92
Pacific Peoples,10 to 14,Male,Whanganui,92
Pacific Peoples,5 to 9,Female,Whanganui,92
European or Other,25 to 29,Unknown/Other,Southern,93
Maori,50 to 54,Male,West Coast,93
Maori,85 to 89,Female,Hawke's Bay,93
Pacific Peoples,15 to 19,Male,Taranaki,93
Asian,0 to 4,Male,Wairarapa,94
Asian,35 to 39,Male,West Coast,94
Maori,10 to 14,Female,Overseas/Unknown,94
Maori,25 to 29,Female,Overseas/Unknown,94
Maori,55 to 59,Male,South Canterbury,94
Pacific Peoples,60 to 64,Male,Bay of Plenty,94
Pacific Peoples,65 to 69,Male,Southern,94
Asian,15 to 19,Female,Overseas/Unknown,95
Asian,50 to 54,Female,Overseas/Unknown,95
Asian,90+,Male,Waitemata,95
Pacific Peoples,5 to 9,Female,South Canterbury,95
Asian,10 to 14,Male,South Canterbury,96
Maori,40 to 44,Male,West Coast,96
Pacific Peoples,10 to 14,Female,Whanganui,96
Pacific Peoples,10 to 14,Male,Taranaki,96
Pacific Peoples,15 to 19,Female,Lakes,96
Pacific Peoples,55 to 59,Male,Bay of Plenty,96
Asian,30 to 34,Female,West Coast,97
Asian,30 to 34,Unknown/Other,Auckland,97
Asian,40 to 44,Female,Whanganui,97
Asian,45 to 49,Female,Whanganui,97
Asian,70 to 74,Female,Northland,97
Asian,80 to 84,Male,Hutt Valley,97
Asian,15 to 19,Female,South Canterbury,98
Asian,40 to 44,Female,Overseas/Unknown,98
Asian,60 to 64,Female,Taranaki,98
Maori,40 to 44,Female,West Coast,98
Pacific Peoples,90+,Female,Auckland,98
Various,90+,Various,Various,98
Maori,70 to 74,Female,Wairarapa,99
Pacific Peoples,25 to 29,Male,South Canterbury,99
Pacific Peoples,60 to 64,Male,MidCentral,99
Pacific Peoples,80 to 84,Male,Capital and Coast,99
European or Other,90+,Male,Tairawhiti,100
Maori,80 to 84,Female,Southern,100
Pacific Peoples,75 to 79,Male,Hutt Valley,100
Asian,10 to 14,Female,South Canterbury,101
Asian,35 to 39,Female,Wairarapa,101
Maori,60 to 64,Female,South Canterbury,101
Maori,85 to 89,Male,Northland,101
Asian,15 to 19,Male,Whanganui,102
Asian,65 to 69,Female,Nelson Marlborough,102
Asian,70 to 74,Female,Hawke's Bay,102
Maori,75 to 79,Male,Taranaki,102
Pacific Peoples,30 to 34,Male,Tairawhiti,104
Pacific Peoples,5 to 9,Male,Whanganui,104
Pacific Peoples,60 to 64,Female,Hawke's Bay,104
Asian,35 to 39,Male,Tairawhiti,105
Maori,30 to 34,Female,Overseas/Unknown,105
Pacific Peoples,0 to 4,Female,Nelson Marlborough,105
Pacific Peoples,0 to 4,Male,Whanganui,105
Pacific Peoples,25 to 29,Female,Nelson Marlborough,105
Pacific Peoples,50 to 54,Male,Overseas/Unknown,105
Pacific Peoples,55 to 59,Female,Northland,105
Asian,75 to 79,Female,MidCentral,106
Maori,80 to 84,Male,Waitemata,106
Maori,45 to 49,Female,Overseas/Unknown,107
Maori,50 to 54,Male,South Canterbury,107
Asian,20 to 24,Female,Taranaki,108
Pacific Peoples,20 to 24,Female,Lakes,108
Pacific Peoples,20 to 24,Male,Lakes,108
Pacific Peoples,40 to 44,Female,Northland,108
Pacific Peoples,55 to 59,Male,Northland,108
Asian,0 to 4,Male,Whanganui,109
European or Other,75 to 79,Male,Overseas/Unknown,109
Pacific Peoples,35 to 39,Female,Lakes,109
Pacific Peoples,45 to 49,Male,Lakes,109
Pacific Peoples,85 to 89,Female,Waitemata,109
Asian,25 to 29,Female,Whanganui,110
Asian,45 to 49,Female,South Canterbury,110
Maori,75 to 79,Male,Whanganui,110
Pacific Peoples,15 to 19,Female,Nelson Marlborough,110
Pacific Peoples,5 to 9,Male,Taranaki,110
Maori,20 to 24,Female,Overseas/Unknown,111
Maori,60 to 64,Male,West Coast,111
Maori,80 to 84,Male,Lakes,111
Pacific Peoples,25 to 29,Female,Lakes,111
Pacific Peoples,40 to 44,Female,Lakes,111
Maori,35 to 39,Female,South Canterbury,112
Maori,40 to 44,Male,South Canterbury,112
Maori,80 to 84,Male,Canterbury,112
Asian,50 to 54,Male,Overseas/Unknown,113
Maori,75 to 79,Male,Hutt Valley,113
Pacific Peoples,40 to 44,Male,Lakes,113
Pacific Peoples,60 to 64,Female,MidCentral,113
Asian,40 to 44,Male,Whanganui,114
Asian,60 to 64,Male,Hawke's Bay,114
Asian,85 to 89,Female,Canterbury,114
Pacific Peoples,50 to 54,Male,Nelson Marlborough,114
Asian,25 to 29,Unknown/Other,Auckland,115
Asian,5 to 9,Female,Whanganui,115
Maori,50 to 54,Female,West Coast,115
Pacific Peoples,20 to 24,Female,Nelson Marlborough,115
Pacific Peoples,60 to 64,Female,Southern,115
Pacific Peoples,75 to 79,Female,Hutt Valley,115
Asian,25 to 29,Male,Wairarapa,116
Maori,0 to 4,Female,Overseas/Unknown,116
Maori,60 to 64,Male,Overseas/Unknown,116
Asian,35 to 39,Male,Wairarapa,118
Asian,55 to 59,Male,Nelson Marlborough,118
Maori,60 to 64,Female,West Coast,118
Maori,80 to 84,Female,Auckland,118
Pacific Peoples,30 to 34,Female,Lakes,118
Pacific Peoples,50 to 54,Female,Northland,118
Asian,15 to 19,Male,South Canterbury,119
Maori,80 to 84,Male,Southern,119
Pacific Peoples,45 to 49,Female,Northland,119
Pacific Peoples,75 to 79,Female,Waikato,119
Asian,30 to 34,Female,Wairarapa,120
Asian,5 to 9,Male,Whanganui,120
Pacific Peoples,0 to 4,Female,Lakes,120
Pacific Peoples,0 to 4,Male,Lakes,120
Maori,55 to 59,Male,West Coast,121
Maori,75 to 79,Female,Hutt Valley,121
Pacific Peoples,30 to 34,Female,Nelson Marlborough,121
Pacific Peoples,60 to 64,Male,Southern,121
Asian,15 to 19,Male,Overseas/Unknown,122
Asian,70 to 74,Female,Southern,122
Asian,90+,Male,Counties Manukau,122
Pacific Peoples,0 to 4,Male,Nelson Marlborough,122
Asian,5 to 9,Female,South Canterbury,124
Asian,55 to 59,Male,Northland,124
Maori,20 to 24,Female,West Coast,124
Maori,70 to 74,Male,Nelson Marlborough,124
Pacific Peoples,20 to 24,Female,Northland,124
Pacific Peoples,60 to 64,Male,Hawke's Bay,124
Maori,10 to 14,Male,Overseas/Unknown,125
Maori,45 to 49,Female,West Coast,125
Asian,50 to 54,Male,Taranaki,126
Maori,55 to 59,Female,South Canterbury,126
Pacific Peoples,55 to 59,Male,MidCentral,126
Maori,15 to 19,Female,West Coast,127
Maori,45 to 49,Male,South Canterbury,127
Maori,75 to 79,Female,Nelson Marlborough,127
Pacific Peoples,50 to 54,Male,Northland,127
Pacific Peoples,70 to 74,Male,Canterbury,127
Asian,80 to 84,Female,Hutt Valley,128
European or Other,25 to 29,Unknown/Other,Auckland,128
European or Other,90+,Female,West Coast,128
Maori,40 to 44,Female,South Canterbury,128
Pacific Peoples,35 to 39,Female,Nelson Marlborough,128
Pacific Peoples,15 to 19,Male,Lakes,129
Pacific Peoples,55 to 59,Female,Bay of Plenty,129
Asian,15 to 19,Female,Taranaki,130
European or Other,90+,Male,Wairarapa,130
Maori,30 to 34,Female,West Coast,130
Maori,80 to 84,Female,Capital and Coast,130
Maori,80 to 84,Female,MidCentral,130
Asian,30 to 34,Male,Wairarapa,131
Asian,60 to 64,Female,Nelson Marlborough,131
Maori,20 to 24,Male,West Coast,131
Maori,75 to 79,Male,Capital and Coast,131
Pacific Peoples,55 to 59,Female,Southern,131
Maori,0 to 4,Male,Overseas/Unknown,132
Pacific Peoples,10 to 14,Female,Lakes,132
Pacific Peoples,70 to 74,Male,Waikato,132
Asian,45 to 49,Male,Overseas/Unknown,133
Maori,15 to 19,Female,Overseas/Unknown,133
Maori,65 to 69,Female,Wairarapa,133
Maori,85 to 89,Female,Bay of Plenty,133
Pacific Peoples,5 to 9,Male,Lakes,133
Pacific Peoples,70 to 74,Female,Canterbury,133
Asian,5 to 9,Male,South Canterbury,134
European or Other,30 to 34,Unknown/Other,Auckland,134
Maori,80 to 84,Female,Canterbury,134
Maori,80 to 84,Female,Tairawhiti,134
Pacific Peoples,30 to 34,Male,Lakes,134
Pacific Peoples,80 to 84,Female,Capital and Coast,134
Asian,30 to 34,Female,Tairawhiti,135
Asian,55 to 59,Male,Lakes,135
Maori,25 to 29,Male,West Coast,135
Pacific Peoples,10 to 14,Male,Lakes,135
Pacific Peoples,55 to 59,Female,MidCentral,135
Pacific Peoples,90+,Female,Counties Manukau,135
Maori,35 to 39,Male,South Canterbury,136
Pacific Peoples,25 to 29,Male,Lakes,136
Pacific Peoples,5 to 9,Female,Lakes,136
Pacific Peoples,55 to 59,Male,Southern,136
Pacific Peoples,70 to 74,Female,Waikato,136
Maori,75 to 79,Female,Taranaki,137
Maori,80 to 84,Male,Hawke's Bay,137
Asian,85 to 89,Female,Capital and Coast,138
Asian,0 to 4,Female,Whanganui,139
Asian,55 to 59,Female,Taranaki,139
Asian,80 to 84,Male,Waikato,139
Asian,90+,Female,Waitemata,139
Pacific Peoples,35 to 39,Male,Lakes,139
Pacific Peoples,50 to 54,Female,Bay of Plenty,139
Pacific Peoples,35 to 39,Female,Northland,140
Maori,75 to 79,Female,Whanganui,141
Asian,65 to 69,Female,Northland,143
Maori,30 to 34,Male,West Coast,143
Maori,65 to 69,Male,Wairarapa,143
Asian,70 to 74,Male,MidCentral,144
Asian,75 to 79,Male,Hutt Valley,144
Pacific Peoples,45 to 49,Male,Northland,144
Pacific Peoples,50 to 54,Female,MidCentral,144
Pacific Peoples,55 to 59,Male,Hawke's Bay,144
Asian,15 to 19,Female,Northland,145
Asian,65 to 69,Female,Lakes,145
Maori,25 to 29,Female,West Coast,145
Maori,55 to 59,Female,West Coast,145
Asian,25 to 29,Male,Whanganui,146
Maori,80 to 84,Male,Counties Manukau,146
Pacific Peoples,25 to 29,Female,Northland,146
Pacific Peoples,5 to 9,Female,Nelson Marlborough,146
Asian,20 to 24,Female,Northland,147
Pacific Peoples,45 to 49,Male,Overseas/Unknown,147
Asian,65 to 69,Female,Hawke's Bay,149
Maori,85 to 89,Female,Waikato,149
