SA2 Code 2018,SA2 2018,DHB of residence,Age,Population,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 recieved,Eligible for booster 2,Booster 2 recieved,Partially vaccinated uptake,Completed primary course uptake,Booster 1 uptake,Booster 2 uptake
111800,Barrier Islands,Auckland,12+,"1,010",786,774,761,560,526,223,78%,77%,74%,42%
111800,Barrier Islands,Auckland,5-11,93,22,12,NA,NA,NA,NA,24%,13%,NA,NA
111900,Algies Bay-Scotts Landing,Waitemata,12+,"1,172",993,980,953,740,705,332,85%,84%,78%,47%
111900,Algies Bay-Scotts Landing,Waitemata,5-11,72,26,8,NA,NA,NA,NA,36%,11%,NA,NA
112100,Wainui-Waiwera,Waitemata,12+,"1,730","1,488","1,475","1,408",966,843,306,86%,85%,69%,36%
112100,Wainui-Waiwera,Waitemata,5-11,160,66,30,NA,NA,NA,NA,41%,19%,NA,NA
112200,Parakai,Waitemata,12+,898,766,753,705,458,409,130,85%,84%,65%,32%
112200,Parakai,Waitemata,5-11,115,62,40,NA,NA,NA,NA,54%,35%,NA,NA
112300,Helensville Rural,Waitemata,12+,"1,558","1,356","1,344","1,286",881,787,219,87%,86%,69%,28%
112300,Helensville Rural,Waitemata,5-11,146,71,44,NA,NA,NA,NA,49%,30%,NA,NA
112400,Helensville,Waitemata,12+,"2,547","2,208","2,173","2,079","1,421","1,234",370,87%,85%,68%,30%
112400,Helensville,Waitemata,5-11,313,167,101,NA,NA,NA,NA,53%,32%,NA,NA
112500,Waitoki,Waitemata,12+,"1,494","1,285","1,269","1,202",777,677,195,86%,85%,65%,29%
112500,Waitoki,Waitemata,5-11,163,82,37,NA,NA,NA,NA,50%,23%,NA,NA
112600,Waikoukou Valley,Waitemata,12+,"1,558","1,379","1,362","1,281",837,735,204,89%,87%,65%,28%
112600,Waikoukou Valley,Waitemata,5-11,133,72,40,NA,NA,NA,NA,54%,30%,NA,NA
112700,Orewa North,Waitemata,12+,"4,719","4,277","4,248","4,088","3,243","2,975","1,416",91%,90%,79%,48%
112700,Orewa North,Waitemata,5-11,413,253,177,NA,NA,NA,NA,61%,43%,NA,NA
112800,Hatfields Beach,Waitemata,12+,"1,360","1,209","1,202","1,157",827,725,251,89%,88%,71%,35%
112800,Hatfields Beach,Waitemata,5-11,137,87,49,NA,NA,NA,NA,64%,36%,NA,NA
112900,Orewa South,Waitemata,12+,"3,879","3,537","3,519","3,410","2,707","2,507","1,162",91%,91%,79%,46%
112900,Orewa South,Waitemata,5-11,290,172,105,NA,NA,NA,NA,59%,36%,NA,NA
113000,Orewa Central,Waitemata,12+,"3,083","2,754","2,733","2,663","2,131","2,015",965,89%,89%,80%,48%
113000,Orewa Central,Waitemata,5-11,187,103,56,NA,NA,NA,NA,55%,30%,NA,NA
113100,Millwater North,Waitemata,12+,"3,137","2,838","2,808","2,661","1,958","1,732",478,90%,90%,74%,28%
113100,Millwater North,Waitemata,5-11,590,351,206,NA,NA,NA,NA,59%,35%,NA,NA
113200,Waipatukahu,Waitemata,12+,"1,264","1,099","1,088","1,035",691,611,194,87%,86%,67%,32%
113200,Waipatukahu,Waitemata,5-11,130,76,39,NA,NA,NA,NA,58%,30%,NA,NA
113300,Millwater South,Waitemata,12+,"3,459","3,152","3,118","2,932","2,010","1,723",333,91%,90%,69%,19%
113300,Millwater South,Waitemata,5-11,680,425,249,NA,NA,NA,NA,62%,37%,NA,NA
113400,Dairy Flat North,Waitemata,12+,"2,833","2,487","2,462","2,373","1,527","1,264",268,88%,87%,64%,21%
113400,Dairy Flat North,Waitemata,5-11,309,167,96,NA,NA,NA,NA,54%,31%,NA,NA
113500,Dairy Flat West,Waitemata,12+,"1,361","1,165","1,158","1,099",707,601,170,86%,85%,64%,28%
113500,Dairy Flat West,Waitemata,5-11,124,60,29,NA,NA,NA,NA,48%,23%,NA,NA
113600,Kingsway,Waitemata,12+,"2,128","1,871","1,847","1,724","1,203","1,035",282,88%,87%,70%,27%
113600,Kingsway,Waitemata,5-11,251,171,91,NA,NA,NA,NA,68%,36%,NA,NA
113800,Silverdale Central (Auckland),Waitemata,12+,684,626,619,599,397,340,74,92%,90%,66%,22%
113800,Silverdale Central (Auckland),Waitemata,5-11,75,40,17,NA,NA,NA,NA,53%,23%,NA,NA
113900,Red Beach West,Waitemata,12+,"2,788","2,443","2,421","2,344","1,850","1,673",787,88%,87%,79%,47%
113900,Red Beach West,Waitemata,5-11,232,115,64,NA,NA,NA,NA,50%,28%,NA,NA
114000,Red Beach East,Waitemata,12+,"3,615","3,242","3,216","3,078","2,265","2,015",748,90%,89%,74%,37%
114000,Red Beach East,Waitemata,5-11,335,197,99,NA,NA,NA,NA,59%,30%,NA,NA
