SA2 Code 2018,SA2 2018,DHB of residence,ethnicity_priority,Age,Population,At least partially vaccinated,Completed primary course,Eligible for booster 1,Booster 1 recieved,Eligible for booster 2,Booster 2 recieved,Partially vaccinated uptake,Completed primary course uptake,Booster 1 uptake,Booster 2 uptake
109200,Maungaru,Northland,Maori,5-11,60,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
109300,Dargaville,Northland,Maori,12+,"1,382",0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
109300,Dargaville,Northland,Maori,5-11,270,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
109300,Dargaville,Northland,Pacific Peoples,12+,222,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
109300,Dargaville,Northland,Pacific Peoples,5-11,43,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
109400,Ruawai-Matakohe,Northland,Maori,12+,488,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
109400,Ruawai-Matakohe,Northland,Maori,5-11,115,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
109500,Otamatea (Kaipara District),Northland,Maori,12+,193,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
109500,Otamatea (Kaipara District),Northland,Maori,5-11,50,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
109600,Maungaturoto,Northland,Maori,12+,193,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
109600,Maungaturoto,Northland,Maori,5-11,54,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
109700,Kaiwaka,Northland,Maori,12+,445,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
109700,Kaiwaka,Northland,Maori,5-11,89,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
109800,Mangawhai Rural,Northland,Maori,12+,198,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
109800,Mangawhai Rural,Northland,Maori,5-11,57,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
109800,Mangawhai Rural,Northland,Pacific Peoples,12+,45,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
109900,Mangawhai Heads,Northland,Maori,12+,164,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
109900,Mangawhai Heads,Northland,Maori,5-11,48,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
110100,Mangawhai,Northland,Maori,12+,84,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
110200,Okahukura Peninsula,Waitemata,Maori,12+,189,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
110200,Okahukura Peninsula,Waitemata,Maori,5-11,51,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
110400,Cape Rodney,Waitemata,Maori,12+,381,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
110400,Cape Rodney,Waitemata,Maori,5-11,72,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
110400,Cape Rodney,Waitemata,Pacific Peoples,12+,54,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
110500,Wellsford,Waitemata,Maori,12+,307,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
110500,Wellsford,Waitemata,Maori,5-11,69,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
110500,Wellsford,Waitemata,Pacific Peoples,12+,75,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
110700,South Head,Waitemata,Maori,12+,390,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
110700,South Head,Waitemata,Maori,5-11,84,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
110700,South Head,Waitemata,Pacific Peoples,12+,57,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
110800,Kaipara Hills,Waitemata,Maori,12+,275,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
110800,Kaipara Hills,Waitemata,Maori,5-11,57,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
110900,Dome Valley-Matakana,Waitemata,Maori,12+,95,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
111100,Warkworth West,Waitemata,Maori,12+,143,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
111100,Warkworth West,Waitemata,Pacific Peoples,12+,102,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
111200,Puhoi Valley,Waitemata,Maori,12+,212,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
111200,Puhoi Valley,Waitemata,Pacific Peoples,12+,82,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
111300,Warkworth East,Waitemata,Maori,12+,209,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
111300,Warkworth East,Waitemata,Maori,5-11,44,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
111300,Warkworth East,Waitemata,Pacific Peoples,12+,194,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
111300,Warkworth East,Waitemata,Pacific Peoples,5-11,48,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
111500,Tawharanui Peninsula,Waitemata,Maori,12+,76,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
111500,Tawharanui Peninsula,Waitemata,Pacific Peoples,12+,68,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
111600,Te Kuru,Waitemata,Maori,12+,150,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
111700,Snells Beach,Waitemata,Maori,12+,233,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
111700,Snells Beach,Waitemata,Maori,5-11,45,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
111700,Snells Beach,Waitemata,Pacific Peoples,12+,120,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
111800,Barrier Islands,Auckland,Maori,12+,185,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
111900,Algies Bay-Scotts Landing,Waitemata,Maori,12+,51,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
112100,Wainui-Waiwera,Waitemata,Maori,12+,111,0,0,NA,NA,NA,NA,<5%,<5%,NA,NA
