SA2 CODE 2018,SA2 2018,DHB,ETHNICITY, POPULATION , FIRST DOSE , SECOND DOSE , FIRST DOSE UPTAKE , SECOND DOSE UPTAKE 
120800,Mairangi Bay South,Waitemata,Maori,81,Masked,76, >950 , 938 
120900,Massey Royal Road West,Waitemata,Maori,394,308,256, 782 , 650 
120900,Massey Royal Road West,Waitemata,Pacific Peoples,456,425,392, 932 , 860 
121000,Bayview East,Waitemata,Maori,199,170,146, 854 , 734 
121000,Bayview East,Waitemata,Pacific Peoples,162,Masked,151, >950 , 932 
121100,Swanson Rural,Waitemata,Maori,186,167,153, 898 , 823 
121100,Swanson Rural,Waitemata,Pacific Peoples,65,Masked,Masked, >950 , >950 
121200,Sunnynook South,Waitemata,Maori,113,101,87, 894 , 770 
121200,Sunnynook South,Waitemata,Pacific Peoples,74,Masked,Masked, >950 , >950 
121300,Sunnynook North,Waitemata,Maori,95,87,82, 916 , 863 
121300,Sunnynook North,Waitemata,Pacific Peoples,48,42,39, 875 , 813 
121400,Bayview West,Waitemata,Maori,130,99,88, 762 , 677 
121400,Bayview West,Waitemata,Pacific Peoples,77,Masked,Masked, >950 , >950 
121500,Totara Vale North,Waitemata,Maori,143,130,121, 909 , 846 
121500,Totara Vale North,Waitemata,Pacific Peoples,113,95,90, 841 , 796 
121600,Royal Heights North,Waitemata,Maori,432,372,318, 861 , 736 
121600,Royal Heights North,Waitemata,Pacific Peoples,476,420,387, 882 , 813 
121700,Massey West,Waitemata,Maori,178,147,111, 826 , 624 
121700,Massey West,Waitemata,Pacific Peoples,196,184,165, 939 , 842 
121800,Beach Haven West,Waitemata,Maori,263,226,209, 859 , 795 
121800,Beach Haven West,Waitemata,Pacific Peoples,156,Masked,145, >950 , 929 
121900,Totara Vale South,Waitemata,Maori,196,181,162, 923 , 827 
121900,Totara Vale South,Waitemata,Pacific Peoples,159,150,139, 943 , 874 
122000,Swanson,Waitemata,Maori,237,Masked,221, >950 , 932 
122000,Swanson,Waitemata,Pacific Peoples,205,Masked,Masked, >950 , >950 
122100,Bayview South,Waitemata,Maori,128,Masked,119, >950 , 930 
122100,Bayview South,Waitemata,Pacific Peoples,123,106,101, 862 , 821 
122200,Campbells Bay,Waitemata,Maori,80,Masked,73, >950 , 913 
122300,Royal Heights South,Waitemata,Maori,488,394,332, 807 , 680 
122300,Royal Heights South,Waitemata,Pacific Peoples,670,580,524, 866 , 782 
122400,Beach Haven East,Waitemata,Maori,578,484,397, 837 , 687 
122400,Beach Haven East,Waitemata,Pacific Peoples,515,459,418, 891 , 812 
122500,Massey East,Waitemata,Maori,481,383,324, 796 , 674 
122500,Massey East,Waitemata,Pacific Peoples,855,751,646, 878 , 756 
122600,Forrest Hill North,Waitemata,Maori,62,57,53, 919 , 855 
122700,Glenfield North,Waitemata,Maori,143,132,115, 923 , 804 
122700,Glenfield North,Waitemata,Pacific Peoples,127,119,116, 937 , 913 
122800,Birkdale North,Waitemata,Maori,428,382,334, 893 , 780 
122800,Birkdale North,Waitemata,Pacific Peoples,326,Masked,298, >950 , 914 
122900,Massey South,Waitemata,Maori,682,536,466, 786 , 683 
122900,Massey South,Waitemata,Pacific Peoples,788,725,659, 920 , 836 
123000,Ranui North,Waitemata,Maori,699,556,453, 795 , 648 
123000,Ranui North,Waitemata,Pacific Peoples,992,889,795, 896 , 801 
123100,Glenfield West,Waitemata,Maori,150,132,123, 880 , 820 
123100,Glenfield West,Waitemata,Pacific Peoples,103,Masked,Masked, >950 , >950 
123200,Te Atatu Peninsula North West,Waitemata,Maori,505,429,384, 850 , 760 
123200,Te Atatu Peninsula North West,Waitemata,Pacific Peoples,295,235,217, 797 , 736 
123300,Glenfield South West,Waitemata,Maori,189,162,147, 857 , 778 
123300,Glenfield South West,Waitemata,Pacific Peoples,171,156,146, 912 , 854 
123400,Forrest Hill West,Waitemata,Maori,114,106,95, 930 , 833 
123400,Forrest Hill West,Waitemata,Pacific Peoples,84,Masked,75, >950 , 893 
123600,Forrest Hill East,Waitemata,Maori,102,88,81, 863 , 794 
123600,Forrest Hill East,Waitemata,Pacific Peoples,68,Masked,61, >950 , 897 
123700,Castor Bay,Waitemata,Maori,121,Masked,110, >950 , 909 
123700,Castor Bay,Waitemata,Pacific Peoples,41,33,32, 805 , 780 
123800,Ranui Domain,Waitemata,Maori,606,493,399, 814 , 658 
123800,Ranui Domain,Waitemata,Pacific Peoples,721,598,525, 829 , 728 
123900,Beach Haven South,Waitemata,Maori,170,Masked,152, >950 , 894 
123900,Beach Haven South,Waitemata,Pacific Peoples,83,76,66, 916 , 795 
124000,Glenfield Central,Waitemata,Maori,179,157,143, 877 , 799 
124000,Glenfield Central,Waitemata,Pacific Peoples,87,Masked,78, >950 , 897 
124100,Piha,Waitemata,Maori,97,81,79, 835 , 814 
124200,Ranui South West,Waitemata,Maori,398,309,259, 776 , 651 
124200,Ranui South West,Waitemata,Pacific Peoples,458,429,393, 937 , 858 
124300,Henderson Larnoch,Waitemata,Maori,658,517,438, 786 , 666 
124300,Henderson Larnoch,Waitemata,Pacific Peoples,928,827,741, 891 , 798 
124400,Birkdale South,Waitemata,Maori,330,295,271, 894 , 821 
124400,Birkdale South,Waitemata,Pacific Peoples,321,274,259, 854 , 807 
124500,Te Atatu Peninsula Central,Waitemata,Maori,532,494,425, 929 , 799 
124500,Te Atatu Peninsula Central,Waitemata,Pacific Peoples,424,382,339, 901 , 800 
124600,Glenfield East,Waitemata,Maori,118,88,80, 746 , 678 
124600,Glenfield East,Waitemata,Pacific Peoples,75,Masked,Masked, >950 , >950 
124700,Henderson Valley,Waitemata,Maori,131,107,95, 817 , 725 
124700,Henderson Valley,Waitemata,Pacific Peoples,47,Masked,Masked, >950 , >950 
124800,Te Atatu Peninsula West,Waitemata,Maori,556,500,449, 899 , 808 
124800,Te Atatu Peninsula West,Waitemata,Pacific Peoples,425,399,349, 939 , 821 
124900,Henderson Lincoln West,Waitemata,Maori,451,357,289, 792 , 641 
124900,Henderson Lincoln West,Waitemata,Pacific Peoples,633,528,489, 834 , 773 
125000,Ranui South East,Waitemata,Maori,306,238,208, 778 , 680 
125000,Ranui South East,Waitemata,Pacific Peoples,457,408,372, 893 , 814 
