SA2 Code 2018,SA2 2018,DHB of residence,Age,Population,At least partially vaccinated,Fully vaccinated,Eligible for booster,Booster recieved,Partially vaccinated uptake,Fully vaccinated uptake,Booster uptake
113300,Millwater South,Waitemata,12+,"3,093",Masked,Masked,"2,771","1,884",>95%,>95%,68%
113300,Millwater South,Waitemata,5-11,629,410,215,NA,NA,65%,34%,NA
113400,Dairy Flat North,Waitemata,12+,"2,255",Masked,"2,128","2,003","1,251",>95%,94%,62%
113400,Dairy Flat North,Waitemata,5-11,255,141,72,NA,NA,55%,28%,NA
113500,Dairy Flat West,Waitemata,12+,"1,295","1,201","1,194","1,106",725,93%,92%,66%
113500,Dairy Flat West,Waitemata,5-11,126,59,25,NA,NA,47%,20%,NA
113600,Kingsway,Waitemata,12+,"2,019","1,914","1,889","1,723","1,184",95%,94%,69%
113600,Kingsway,Waitemata,5-11,283,160,72,NA,NA,57%,25%,NA
113800,Silverdale Central (Auckland),Waitemata,12+,488,Masked,Masked,449,289,>95%,>95%,64%
113800,Silverdale Central (Auckland),Waitemata,5-11,50,31,11,NA,NA,62%,22%,NA
113900,Red Beach West,Waitemata,12+,"2,583","2,337","2,316","2,189","1,729",90%,90%,79%
113900,Red Beach West,Waitemata,5-11,212,108,56,NA,NA,51%,26%,NA
114000,Red Beach East,Waitemata,12+,"3,491",Masked,Masked,"3,119","2,267",>95%,>95%,73%
114000,Red Beach East,Waitemata,5-11,363,188,81,NA,NA,52%,22%,NA
114100,Silverdale South (Auckland),Waitemata,12+,"1,721","1,586","1,567","1,469",951,92%,91%,65%
114100,Silverdale South (Auckland),Waitemata,5-11,186,98,24,NA,NA,53%,13%,NA
114200,Waimauku,Waitemata,12+,"1,161",Masked,"1,101","1,019",720,>95%,95%,71%
114200,Waimauku,Waitemata,5-11,134,82,34,NA,NA,61%,25%,NA
114400,Vipond,Waitemata,12+,"2,488","2,352","2,341","2,206","1,555",95%,94%,70%
114400,Vipond,Waitemata,5-11,307,160,89,NA,NA,52%,29%,NA
114500,Muriwai,Waitemata,12+,946,874,859,803,583,92%,91%,73%
114500,Muriwai,Waitemata,5-11,124,81,23,NA,NA,65%,19%,NA
114600,Stanmore Bay West,Waitemata,12+,"2,215","2,084","2,058","1,904","1,268",94%,93%,67%
114600,Stanmore Bay West,Waitemata,5-11,331,173,92,NA,NA,52%,28%,NA
114700,Kumeu Rural West,Waitemata,12+,"1,495","1,414","1,393","1,318",897,95%,93%,68%
114700,Kumeu Rural West,Waitemata,5-11,115,54,26,NA,NA,47%,23%,NA
114800,Okura Bush,Waitemata,12+,"1,234","1,138","1,120","1,059",725,92%,91%,68%
114800,Okura Bush,Waitemata,5-11,141,87,45,NA,NA,62%,32%,NA
114900,Whangaparoa Central,Waitemata,12+,"3,735","3,535","3,505","3,249","2,282",95%,94%,70%
114900,Whangaparoa Central,Waitemata,5-11,414,234,112,NA,NA,57%,27%,NA
115000,Kumeu-Huapai,Waitemata,12+,"4,045",Masked,Masked,"3,703","2,677",>95%,>95%,72%
115000,Kumeu-Huapai,Waitemata,5-11,549,448,228,NA,NA,82%,42%,NA
115100,Stanmore Bay East,Waitemata,12+,"2,346","2,168","2,135","1,979","1,362",92%,91%,69%
115100,Stanmore Bay East,Waitemata,5-11,268,135,59,NA,NA,50%,22%,NA
115200,Manly West,Waitemata,12+,"2,063","1,934","1,917","1,805","1,271",94%,93%,70%
115200,Manly West,Waitemata,5-11,236,124,70,NA,NA,53%,30%,NA
115300,Muriwai Valley-Bethells Beach,Waitemata,12+,935,846,835,782,541,90%,89%,69%
115300,Muriwai Valley-Bethells Beach,Waitemata,5-11,121,75,34,NA,NA,62%,28%,NA
115400,Tindalls-Matakatia,Waitemata,12+,"1,784","1,661","1,651","1,555","1,117",93%,93%,72%
115400,Tindalls-Matakatia,Waitemata,5-11,152,88,50,NA,NA,58%,33%,NA
115500,Coatesville,Waitemata,12+,"2,032","1,908","1,891","1,765","1,264",94%,93%,72%
115500,Coatesville,Waitemata,5-11,225,113,55,NA,NA,50%,24%,NA
115600,Dairy Flat South,Waitemata,12+,"1,484","1,397","1,381","1,288",903,94%,93%,70%
115600,Dairy Flat South,Waitemata,5-11,133,63,38,NA,NA,47%,29%,NA
115700,Gulf Harbour North,Waitemata,12+,"2,485",Masked,Masked,"2,217","1,574",>95%,>95%,71%
115700,Gulf Harbour North,Waitemata,5-11,322,196,101,NA,NA,61%,31%,NA
115800,Manly East,Waitemata,12+,"3,146","2,880","2,858","2,708","1,992",92%,91%,74%
115800,Manly East,Waitemata,5-11,332,202,104,NA,NA,61%,31%,NA
115900,Riverhead,Waitemata,12+,"2,571",Masked,Masked,"2,295","1,700",>95%,>95%,74%
115900,Riverhead,Waitemata,5-11,419,328,200,NA,NA,78%,48%,NA
116000,Army Bay,Waitemata,12+,"1,329",Masked,"1,247","1,160",886,>95%,94%,76%
116000,Army Bay,Waitemata,5-11,169,101,48,NA,NA,60%,28%,NA
116100,Kumeu Rural East,Waitemata,12+,"2,290","2,088","2,073","1,967","1,336",91%,91%,68%
116100,Kumeu Rural East,Waitemata,5-11,215,119,54,NA,NA,55%,25%,NA
116200,Gulf Harbour South,Waitemata,12+,"2,567","2,411","2,400","2,265","1,688",94%,93%,75%
116200,Gulf Harbour South,Waitemata,5-11,267,169,99,NA,NA,63%,37%,NA
116300,Paremoremo West,Waitemata,12+,826,777,769,721,493,94%,93%,68%
116300,Paremoremo West,Waitemata,5-11,92,43,29,NA,NA,47%,32%,NA
116400,Taupaki,Waitemata,12+,"1,554","1,404","1,389","1,312",895,90%,89%,68%
116400,Taupaki,Waitemata,5-11,139,69,24,NA,NA,50%,17%,NA
116500,Long Bay,Waitemata,12+,"2,083",Masked,Masked,"1,936","1,358",>95%,>95%,70%
116500,Long Bay,Waitemata,5-11,310,221,115,NA,NA,71%,37%,NA
116600,Paremoremo East,Waitemata,12+,"1,775","1,680","1,654","1,537","1,041",95%,93%,68%
116600,Paremoremo East,Waitemata,5-11,201,96,54,NA,NA,48%,27%,NA
116700,Albany Heights,Waitemata,12+,"3,069",Masked,Masked,"2,924","2,010",>95%,>95%,69%
