sa2_code,sa2,dhb,dose1_cnt,dose2_cnt,pop_cnt,dose1_uptake,dose2_uptake
133800,Hobson Ridge South,Auckland,107,105,123,870,854
133900,New Lynn Central,Waitemata,masked,masked,masked,masked,masked
134000,Cheltenham,Waitemata,55,54,masked,>950,>950
134100,Queen Street South West,Auckland,120,117,136,882,860
134200,Mount Albert Central,Auckland,203,196,masked,>950,>950
134300,Karangahape,Auckland,141,139,152,928,914
134400,Kingsland,Auckland,259,255,275,942,927
134500,Anzac Avenue,Auckland,148,142,162,914,877
134600,Waima-Woodlands Park,Waitemata,110,107,116,948,922
134700,Kaurilands,Waitemata,223,220,238,937,924
134800,Auckland-University,Auckland,masked,masked,masked,masked,masked
134900,New Lynn Seabrook,Waitemata,183,180,195,938,923
135000,Avondale South (Auckland),Auckland,227,223,244,930,914
135100,Symonds Street North West,Auckland,131,126,147,891,857
135200,Mount Albert South,Auckland,109,104,119,916,874
135300,Symonds Street West,Auckland,182,174,197,924,883
135400,West Lynn,Waitemata,200,196,masked,>950,>950
135500,Owairaka West,Auckland,169,162,191,885,848
135600,New Lynn Central South,Waitemata,192,183,218,881,839
135700,The Strand,Auckland,79,76,masked,>950,>950
135800,St Lukes,Auckland,98,96,masked,>950,>950
135900,Symonds Street East,Auckland,170,165,masked,>950,>950
136000,Eden Terrace,Auckland,241,232,masked,>950,>950
136100,Grafton,Auckland,124,117,133,932,880
136200,Eden Park,Auckland,90,89,98,918,908
136300,Sandringham North,Auckland,163,160,masked,>950,>950
136400,Parnell West,Auckland,215,209,masked,>950,>950
136500,New Lynn South,Waitemata,302,292,326,926,896
136600,New Windsor North,Auckland,172,165,191,901,864
136700,Titirangi South,Waitemata,144,142,153,941,928
136800,Owairaka East,Auckland,110,105,masked,>950,>950
136900,Eden Valley,Auckland,130,127,137,949,927
137000,Sandringham Central,Auckland,109,107,masked,>950,>950
137100,Glenavon,Auckland,224,208,252,889,825
137200,Blockhouse Bay North,Auckland,139,134,155,897,865
137300,Green Bay North,Waitemata,107,101,115,930,878
137400,Parnell East,Auckland,99,98,masked,>950,>950
137500,Laingholm,Waitemata,118,117,132,894,886
137600,Sandringham West,Auckland,107,106,116,922,914
137700,Mount Eden North East,Auckland,83,73,90,922,811
137800,Mount Eden North,Auckland,112,112,masked,>950,>950
137900,Wesley West,Auckland,180,161,204,882,789
138000,Green Bay South,Waitemata,147,138,masked,>950,>950
138100,Balmoral,Auckland,127,125,masked,>950,>950
138200,Sandringham East,Auckland,171,166,masked,>950,>950
138300,New Windsor South,Auckland,194,188,209,928,900
138400,Mount Eden West,Auckland,97,96,103,942,932
138500,Newmarket,Auckland,80,79,masked,>950,>950
138600,Blockhouse Bay North East,Auckland,96,94,106,906,887
138700,Epsom North,Auckland,106,103,125,848,824
138800,Wesley South,Auckland,masked,masked,masked,masked,masked
138900,Blockhouse Bay South,Auckland,160,156,169,947,923
139000,Mount Eden East,Auckland,109,108,masked,>950,>950
139100,Wesley East,Auckland,147,143,158,930,905
139200,Orakei West,Auckland,153,147,masked,>950,>950
139300,Maungawhau,Auckland,78,76,85,918,894
