sa2_code,sa2_name,dhb,ethnicity_priority,dose1_cnt,dose2_cnt,pop_cnt,dose1_uptake,dose2_uptake
114100,Silverdale South (Auckland),Waitemata,Pacific Peoples,masked,masked,masked,250,<50
114200,Waimauku,Waitemata,Pacific Peoples,masked,masked,masked,<50,<50
114300,Gulf Islands,Auckland,Pacific Peoples,masked,masked,masked,masked,masked
114400,Vipond,Waitemata,Pacific Peoples,masked,masked,masked,571,<50
114500,Muriwai,Waitemata,Pacific Peoples,masked,masked,masked,333,<50
114600,Stanmore Bay West,Waitemata,Pacific Peoples,masked,masked,masked,625,<50
114700,Kumeu Rural West,Waitemata,Pacific Peoples,masked,masked,masked,364,<50
114800,Okura Bush,Waitemata,Pacific Peoples,masked,masked,masked,200,<50
114900,Whangapar?oa Central,Waitemata,Pacific Peoples,masked,masked,masked,667,<50
115000,Kumeu-Huapai,Waitemata,Pacific Peoples,masked,masked,masked,611,<50
115100,Stanmore Bay East,Waitemata,Pacific Peoples,masked,masked,masked,500,<50
115200,Manly West,Waitemata,Pacific Peoples,masked,masked,masked,154,<50
115300,Muriwai Valley-Bethells Beach,Waitemata,Pacific Peoples,masked,masked,masked,667,<50
115400,Tindalls-Matakatia,Waitemata,Pacific Peoples,masked,masked,masked,667,<50
115500,Coatesville,Waitemata,Pacific Peoples,masked,masked,masked,<50,<50
115600,Dairy Flat South,Waitemata,Pacific Peoples,masked,masked,masked,500,<50
115700,Gulf Harbour North,Waitemata,Pacific Peoples,masked,masked,masked,455,<50
115800,Manly East,Waitemata,Pacific Peoples,masked,masked,masked,333,<50
115900,Riverhead,Waitemata,Pacific Peoples,masked,masked,masked,769,<50
116000,Army Bay,Waitemata,Pacific Peoples,masked,masked,masked,529,<50
116100,Kumeu Rural East,Waitemata,Pacific Peoples,masked,masked,masked,680,<50
116200,Gulf Harbour South,Waitemata,Pacific Peoples,masked,masked,masked,500,<50
116300,Paremoremo West,Waitemata,Pacific Peoples,masked,masked,masked,333,<50
116400,Taupaki,Waitemata,Pacific Peoples,masked,masked,masked,500,<50
116500,Long Bay,Waitemata,Pacific Peoples,masked,masked,masked,333,<50
116600,Paremoremo East,Waitemata,Pacific Peoples,masked,masked,masked,167,<50
116700,Albany Heights,Waitemata,Pacific Peoples,masked,masked,masked,556,<50
116800,Awaruku,Waitemata,Pacific Peoples,masked,masked,masked,429,<50
116900,Fairview Heights,Waitemata,Pacific Peoples,masked,masked,masked,750,<50
117000,Whenuapai,Waitemata,Pacific Peoples,masked,masked,masked,629,<50
117100,Waitakere Ranges North,Waitemata,Pacific Peoples,masked,masked,masked,750,<50
117200,Torbay,Waitemata,Pacific Peoples,masked,masked,masked,455,<50
117300,Albany Central,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
117400,Albany West,Waitemata,Pacific Peoples,masked,masked,masked,<50,<50
117500,Glamorgan,Waitemata,Pacific Peoples,masked,masked,masked,250,<50
117600,Oteha East,Waitemata,Pacific Peoples,masked,masked,masked,600,<50
117700,Northcross,Waitemata,Pacific Peoples,masked,masked,masked,667,<50
117800,Oteha West,Waitemata,Pacific Peoples,masked,masked,masked,>950,<50
117900,Waiake,Waitemata,Pacific Peoples,masked,masked,masked,143,<50
118000,Waitakere,Waitemata,Pacific Peoples,masked,masked,masked,333,<50
118100,Albany South,Waitemata,Pacific Peoples,masked,masked,masked,273,<50
118200,Browns Bay South West,Waitemata,Pacific Peoples,masked,masked,masked,200,<50
118300,Browns Bay Central,Waitemata,Pacific Peoples,masked,masked,masked,333,<50
118400,Schnapper Rock,Waitemata,Pacific Peoples,masked,masked,masked,>950,<50
118500,Pinehill,Waitemata,Pacific Peoples,masked,masked,masked,333,<50
118600,North Harbour,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
118700,Browns Bay South East,Waitemata,Pacific Peoples,masked,masked,masked,600,<50
118800,Westgate Central,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
118900,Greenhithe West,Waitemata,Pacific Peoples,masked,masked,masked,833,<50
119000,Rothesay Bay,Waitemata,Pacific Peoples,masked,masked,masked,375,<50
119100,Greenhithe East,Waitemata,Pacific Peoples,masked,masked,masked,800,<50
119200,Hobsonville,Waitemata,Pacific Peoples,masked,masked,masked,667,<50
119400,Greenhithe South,Waitemata,Pacific Peoples,masked,masked,masked,>950,<50
119500,Murrays Bay West,Waitemata,Pacific Peoples,masked,masked,masked,143,<50
119600,Westgate South,Waitemata,Pacific Peoples,masked,masked,masked,465,<50
119700,Windsor Park,Waitemata,Pacific Peoples,masked,masked,masked,500,<50
119800,West Harbour West,Waitemata,Pacific Peoples,masked,masked,masked,439,<50
119900,Unsworth Heights West,Waitemata,Pacific Peoples,masked,masked,masked,444,<50
120000,Murrays Bay East,Waitemata,Pacific Peoples,masked,masked,masked,<50,<50
120100,Birdwood West,Waitemata,Pacific Peoples,masked,masked,masked,333,<50
120200,Hobsonville Point,Waitemata,Pacific Peoples,masked,masked,masked,657,<50
120300,West Harbour Clearwater Cove,Waitemata,Pacific Peoples,masked,masked,masked,476,<50
120400,Unsworth Heights East,Waitemata,Pacific Peoples,masked,masked,masked,471,<50
120500,Mairangi Bay North,Waitemata,Pacific Peoples,masked,masked,masked,300,<50
120600,Massey Central,Waitemata,Pacific Peoples,masked,masked,masked,360,<50
120700,West Harbour Luckens Point,Waitemata,Pacific Peoples,masked,masked,masked,412,<50
120800,Mairangi Bay South,Waitemata,Pacific Peoples,masked,masked,masked,>950,<50
120900,Massey Royal Road West,Waitemata,Pacific Peoples,masked,masked,masked,435,<50
121000,Bayview East,Waitemata,Pacific Peoples,masked,masked,masked,242,<50
121100,Swanson Rural,Waitemata,Pacific Peoples,masked,masked,masked,636,<50
121200,Sunnynook South,Waitemata,Pacific Peoples,masked,masked,masked,667,<50
121300,Sunnynook North,Waitemata,Pacific Peoples,masked,masked,masked,438,<50
121400,Bayview West,Waitemata,Pacific Peoples,masked,masked,masked,500,<50
121500,Totara Vale North,Waitemata,Pacific Peoples,masked,masked,masked,478,<50
121600,Royal Heights North,Waitemata,Pacific Peoples,masked,masked,masked,462,<50
121700,Massey West,Waitemata,Pacific Peoples,masked,masked,masked,545,<50
121800,Beach Haven West,Waitemata,Pacific Peoples,masked,masked,masked,250,<50
121900,Totara Vale South,Waitemata,Pacific Peoples,masked,masked,masked,550,<50
122000,Swanson,Waitemata,Pacific Peoples,masked,masked,masked,340,<50
122100,Bayview South,Waitemata,Pacific Peoples,masked,masked,masked,280,<50
122200,Campbells Bay,Waitemata,Pacific Peoples,masked,masked,masked,>950,<50
122300,Royal Heights South,Waitemata,Pacific Peoples,masked,masked,masked,314,<50
122400,Beach Haven East,Waitemata,Pacific Peoples,masked,masked,masked,245,<50
122500,Massey East,Waitemata,Pacific Peoples,masked,masked,masked,333,<50
122600,Forrest Hill North,Waitemata,Pacific Peoples,masked,masked,masked,<50,<50
122700,Glenfield North,Waitemata,Pacific Peoples,masked,masked,masked,538,<50
122800,Birkdale North,Waitemata,Pacific Peoples,masked,masked,masked,380,<50
122900,Massey South,Waitemata,Pacific Peoples,masked,masked,masked,422,<50
123000,R?nui North,Waitemata,Pacific Peoples,masked,masked,masked,263,<50
123100,Glenfield West,Waitemata,Pacific Peoples,masked,masked,masked,391,<50
123200,Te Atat? Peninsula North West,Waitemata,Pacific Peoples,masked,masked,masked,525,<50
123300,Glenfield South West,Waitemata,Pacific Peoples,masked,masked,masked,489,<50
123400,Forrest Hill West,Waitemata,Pacific Peoples,masked,masked,masked,300,<50
123500,Wairau Valley,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
123600,Forrest Hill East,Waitemata,Pacific Peoples,masked,masked,masked,571,<50
123700,Castor Bay,Waitemata,Pacific Peoples,masked,masked,masked,667,<50
123800,R?nui Domain,Waitemata,Pacific Peoples,masked,masked,masked,286,<50
123900,Beach Haven South,Waitemata,Pacific Peoples,masked,masked,masked,500,<50
124000,Glenfield Central,Waitemata,Pacific Peoples,masked,masked,masked,333,<50
124100,Piha,Waitemata,Pacific Peoples,masked,masked,masked,500,<50
124200,R?nui South West,Waitemata,Pacific Peoples,masked,masked,masked,415,<50
124300,Henderson Larnoch,Waitemata,Pacific Peoples,masked,masked,masked,434,<50
124400,Birkdale South,Waitemata,Pacific Peoples,masked,masked,masked,548,<50
124500,Te Atat? Peninsula Central,Waitemata,Pacific Peoples,masked,masked,masked,303,<50
124600,Glenfield East,Waitemata,Pacific Peoples,masked,masked,masked,417,<50
124700,Henderson Valley,Waitemata,Pacific Peoples,masked,masked,masked,364,<50
124800,Te Atat? Peninsula West,Waitemata,Pacific Peoples,masked,masked,masked,448,<50
124900,Henderson Lincoln West,Waitemata,Pacific Peoples,masked,masked,masked,510,<50
125000,R?nui South East,Waitemata,Pacific Peoples,masked,masked,masked,512,<50
125100,Henderson Lincoln East,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
125200,Birkenhead West,Waitemata,Pacific Peoples,masked,masked,masked,308,<50
125300,Te Atat? Peninsula East,Waitemata,Pacific Peoples,masked,masked,masked,351,<50
125400,Milford West,Waitemata,Pacific Peoples,masked,masked,masked,400,<50
