sa2_code,sa2_name,dhb,ethnicity_priority,dose1_cnt,dose2_cnt,pop_cnt,dose1_uptake,dose2_uptake
127000,Te Atatū South-Central,Waitemata,Pacific Peoples,509,499,542,939,921
127100,Northcote Central (Auckland),Waitemata,Pacific Peoples,203,201,219,927,918
127200,Akoranga,Waitemata,Pacific Peoples,97,94,91,>950,>950
127300,Northcote South (Auckland),Waitemata,Pacific Peoples,65,65,60,>950,>950
127400,Birkenhead South,Waitemata,Pacific Peoples,31,29,31,>950,935
127500,Henderson Central,Waitemata,Pacific Peoples,127,124,138,920,899
127600,Waiatarua,Waitemata,Pacific Peoples,64,64,65,>950,>950
127700,Te Atatū South-McLeod North,Waitemata,Pacific Peoples,460,454,485,948,936
127800,Henderson Valley Park,Waitemata,Pacific Peoples,542,534,553,>950,>950
127900,Henderson North East,Waitemata,Pacific Peoples,346,342,377,918,907
128000,Waitakere Ranges South,Waitemata,Pacific Peoples,28,27,32,875,844
128100,Northcote Tuff Crater,Waitemata,Pacific Peoples,58,57,57,>950,>950
128200,Northcote Point (Auckland),Waitemata,Pacific Peoples,70,70,68,>950,>950
128300,McLaren Park,Waitemata,Pacific Peoples,982,955,1072,916,891
128400,Henderson East,Waitemata,Pacific Peoples,446,436,481,927,906
128500,Te Atatū South-McLeod South,Waitemata,Pacific Peoples,516,509,540,>950,943
128600,Takapuna South,Waitemata,Pacific Peoples,20,20,20,>950,>950
128700,Rosebank Peninsula,Auckland,Pacific Peoples,masked,masked,masked,masked,masked
128800,Hauraki,Waitemata,Pacific Peoples,51,47,47,>950,>950
128900,Glendene North,Waitemata,Pacific Peoples,912,894,968,942,924
129000,Sunnyvale West-Parrs Park,Waitemata,Pacific Peoples,608,598,645,943,927
129100,Sunnyvale East,Waitemata,Pacific Peoples,723,709,769,940,922
129200,Point Chevalier West,Auckland,Pacific Peoples,177,174,187,947,930
129300,Belmont (Auckland),Waitemata,Pacific Peoples,66,65,73,904,890
129400,Bayswater,Waitemata,Pacific Peoples,97,96,106,915,906
129500,Glendene South,Waitemata,Pacific Peoples,683,670,696,>950,>950
129600,Glen Eden West,Waitemata,Pacific Peoples,672,655,701,>950,934
129700,Herne Bay,Auckland,Pacific Peoples,37,37,36,>950,>950
129800,Westmere North,Auckland,Pacific Peoples,80,79,78,>950,>950
129900,Point Chevalier East,Auckland,Pacific Peoples,289,285,306,944,931
130000,Oratia,Waitemata,Pacific Peoples,56,55,57,>950,>950
130100,Glen Eden Rosier,Waitemata,Pacific Peoples,565,555,579,>950,>950
130200,Saint Marys Bay,Auckland,Pacific Peoples,44,43,53,830,811
130300,Westmere South-Western Springs,Auckland,Pacific Peoples,147,146,147,>950,>950
130400,Ponsonby West,Auckland,Pacific Peoples,142,135,146,>950,925
130500,Kelston North,Waitemata,Pacific Peoples,739,721,794,931,908
130600,Avondale Rosebank,Auckland,Pacific Peoples,1102,1072,1171,941,915
130700,Narrow Neck,Waitemata,Pacific Peoples,54,53,57,947,930
130800,Glen Eden North,Waitemata,Pacific Peoples,483,479,483,>950,>950
130900,Glen Eden Woodglen,Waitemata,Pacific Peoples,590,577,622,949,928
131000,Kelston South,Waitemata,Pacific Peoples,610,600,642,>950,935
131100,Waterview,Auckland,Pacific Peoples,564,542,576,>950,941
131200,Ponsonby East,Auckland,Pacific Peoples,178,176,186,>950,946
131300,Wynyard-Viaduct,Auckland,Pacific Peoples,14,14,18,778,778
131400,Stanley Point,Waitemata,Pacific Peoples,29,29,29,>950,>950
131500,Glen Eden Central,Waitemata,Pacific Peoples,297,294,313,949,939
131600,Grey Lynn North,Auckland,Pacific Peoples,237,233,247,>950,943
131700,Avondale West (Auckland),Auckland,Pacific Peoples,991,969,1062,933,912
131800,Freemans Bay,Auckland,Pacific Peoples,154,153,171,901,895
131900,Mount Albert West,Auckland,Pacific Peoples,221,216,250,884,864
132000,Avondale North (Auckland),Auckland,Pacific Peoples,551,538,603,914,892
132100,Grey Lynn West,Auckland,Pacific Peoples,345,341,365,945,934
132200,Mount Albert North,Auckland,Pacific Peoples,290,289,305,>950,948
132300,New Lynn North,Waitemata,Pacific Peoples,493,482,510,>950,945
132400,Victoria Park,Auckland,Pacific Peoples,72,72,73,>950,>950
132500,Konini,Waitemata,Pacific Peoples,170,169,188,904,899
132600,New Lynn North West,Waitemata,Pacific Peoples,402,394,415,>950,949
132700,Hobson Ridge North,Auckland,Pacific Peoples,88,84,90,>950,933
132800,Grey Lynn Central,Auckland,Pacific Peoples,345,338,357,>950,947
132900,Fruitvale,Waitemata,Pacific Peoples,306,299,326,939,917
133000,Devonport,Waitemata,Pacific Peoples,45,45,51,882,882
133100,Avondale Central (Auckland),Auckland,Pacific Peoples,431,418,433,>950,>950
133200,Queen Street,Auckland,Pacific Peoples,67,58,66,>950,879
133300,Quay Street-Customs Street,Auckland,Pacific Peoples,84,83,91,923,912
133400,Hobson Ridge Central,Auckland,Pacific Peoples,123,118,115,>950,>950
133500,Grey Lynn East,Auckland,Pacific Peoples,131,126,131,>950,>950
133600,Morningside (Auckland),Auckland,Pacific Peoples,319,314,337,947,932
133700,Shortland Street,Auckland,Pacific Peoples,26,26,27,>950,>950
133800,Hobson Ridge South,Auckland,Pacific Peoples,47,45,50,940,900
133900,New Lynn Central,Waitemata,Pacific Peoples,47,47,45,>950,>950
134000,Cheltenham,Waitemata,Pacific Peoples,24,24,20,>950,>950
134100,Queen Street South West,Auckland,Pacific Peoples,59,57,69,855,826
134200,Mount Albert Central,Auckland,Pacific Peoples,178,178,190,937,937
134300,Karangahape,Auckland,Pacific Peoples,98,96,103,>950,932
134400,Kingsland,Auckland,Pacific Peoples,318,315,336,946,938
134500,Anzac Avenue,Auckland,Pacific Peoples,72,69,84,857,821
134600,Waima-Woodlands Park,Waitemata,Pacific Peoples,54,54,54,>950,>950
134700,Kaurilands,Waitemata,Pacific Peoples,109,108,113,>950,>950
134800,Auckland-University,Auckland,Pacific Peoples,masked,masked,masked,>950,>950
134900,New Lynn Seabrook,Waitemata,Pacific Peoples,317,313,350,906,894
135000,Avondale South (Auckland),Auckland,Pacific Peoples,698,678,731,>950,927
135100,Symonds Street North West,Auckland,Pacific Peoples,88,87,95,926,916
135200,Mount Albert South,Auckland,Pacific Peoples,88,87,103,854,845
135300,Symonds Street West,Auckland,Pacific Peoples,117,113,112,>950,>950
135400,West Lynn,Waitemata,Pacific Peoples,184,182,201,915,905
135500,Ōwairaka West,Auckland,Pacific Peoples,291,287,319,912,900
135600,New Lynn Central South,Waitemata,Pacific Peoples,364,355,372,>950,>950
135700,The Strand,Auckland,Pacific Peoples,58,56,63,921,889
135800,St Lukes,Auckland,Pacific Peoples,144,140,162,889,864
135900,Symonds Street East,Auckland,Pacific Peoples,95,91,105,905,867
136000,Eden Terrace,Auckland,Pacific Peoples,168,162,168,>950,>950
136100,Grafton,Auckland,Pacific Peoples,47,47,50,940,940
136200,Eden Park,Auckland,Pacific Peoples,113,111,118,>950,941
136300,Sandringham North,Auckland,Pacific Peoples,268,260,286,937,909
136400,Parnell West,Auckland,Pacific Peoples,90,90,81,>950,>950
136500,New Lynn South,Waitemata,Pacific Peoples,492,477,507,>950,941
136600,New Windsor North,Auckland,Pacific Peoples,429,420,455,943,923
136700,Titirangi South,Waitemata,Pacific Peoples,97,96,95,>950,>950
136800,Ōwairaka East,Auckland,Pacific Peoples,230,227,249,924,912
136900,Eden Valley,Auckland,Pacific Peoples,71,70,74,>950,946
137000,Sandringham Central,Auckland,Pacific Peoples,219,209,237,924,882
137100,Glenavon,Auckland,Pacific Peoples,663,640,710,934,901
137200,Blockhouse Bay North,Auckland,Pacific Peoples,400,393,436,917,901
137300,Green Bay North,Waitemata,Pacific Peoples,144,144,144,>950,>950
137400,Parnell East,Auckland,Pacific Peoples,66,66,71,930,930
137500,Laingholm,Waitemata,Pacific Peoples,31,31,33,939,939
137600,Sandringham West,Auckland,Pacific Peoples,185,181,198,934,914
137700,Mount Eden North East,Auckland,Pacific Peoples,50,47,57,877,825
137800,Mount Eden North,Auckland,Pacific Peoples,96,96,111,865,865
