"sa2_code","sa2_name","dhb","booster_count","eligible_booster_pop","booster_uptake"
"171500","Huntly East","Waikato","129","203","635"
"171600","Raglan","Waikato","10","21","476"
"171700","Whitikahu","Waikato","11","14","786"
"171800","Te Uku","Waikato","8","13","615"
"171900","Taupiri-Lake Kainui","Waikato","19","28","679"
"172000","Ng?ruaw?hia North","Waikato","13","30","433"
"172100","Ng?ruaw?hia Central","Waikato","26","57","456"
"172200","Ng?ruaw?hia South","Waikato","17","26","654"
"172300","Kainui-Gordonton","Waikato","9","13","692"
"172400","Te Kowhai","Waikato","masked","13","385"
"172500","Whatawhata West","Waikato","masked","masked","masked"
"172600","Horotiu","Waikato","9","11","818"
"172700","Horsham Downs","Waikato","masked","6","667"
"172800","Whatawhata East","Waikato","19","28","679"
"172900","Rotokauri","Waikato","masked","masked","<50"
"173000","Hamilton Park","Waikato","6","8","750"
"173100","Eureka-Tauwhare","Waikato","10","13","769"
"173200","Tamahere North","Waikato","23","29","793"
"173300","Pukemoremore","Waikato","10","17","588"
"173400","Tamahere South","Waikato","6","7","857"
"173500","Tahuna-Mangateparu","Waikato","masked","8","250"
"173600","Mangaiti","Waikato","masked","8","375"
"173700","Tatuanui","Waikato","masked","masked","667"
"173800","Tahuroa","Waikato","masked","6","833"
"173900","Morrinsville East","Waikato","19","32","594"
"174000","Morrinsville West","Waikato","14","20","700"
"174100","Te Aroha East","Waikato","21","52","404"
"174200","Te Aroha West","Waikato","15","21","714"
"174300","Waihou-Manawaru","Waikato","masked","12","83"
"174400","Waitoa-Ngarua","Waikato","8","22","364"
"174500","Richmond Downs-Wardville","Waikato","masked","masked","masked"
"174600","Waharoa-Peria","Waikato","masked","7","571"
"174700","Okauia","Waikato","masked","6","500"
"174800","Hinuera","Waikato","masked","masked","333"
"174900","Matamata North","Waikato","8","21","381"
"175000","Matamata South","Waikato","24","44","545"
"175100","Te Poi","Waikato","masked","9","444"
"175200","Te Rapa North","Waikato","masked","masked",">950"
"175300","Flagstaff North","Waikato","45","61","738"
"175400","Rotokauri-Waiwhakareke","Waikato","15","24","625"
"175500","Flagstaff South","Waikato","31","36","861"
"175600","Rototuna North","Waikato","18","31","581"
"175700","Pukete West","Waikato","34","59","576"
"175800","Flagstaff East","Waikato","31","51","608"
"175900","Rototuna Central","Waikato","59","76","776"
"176000","Pukete East","Waikato","23","40","575"
"176100","Te Manatu","Waikato","31","52","596"
"176200","Rototuna South","Waikato","38","60","633"
"176300","Te Rapa South","Waikato","masked","masked",">950"
"176400","Saint Andrews West","Waikato","40","86","465"
"176500","Saint Andrews East","Waikato","23","34","676"
"176600","Queenwood (Hamilton City)","Waikato","17","27","630"
"176700","St James","Waikato","18","28","643"
"176800","Crawshaw","Waikato","68","133","511"
"176900","Huntington","Waikato","15","24","625"
