sa2_code,sa2_name,dhb,ta,dose1_cnt,dose2_cnt,pop_cnt,dose1_uptake,dose2_uptake
126000,Summerland South,Waitemata,Auckland,2575,2438,2755,935,885
126100,Summerland North,Waitemata,Auckland,2103,1972,2227,944,885
126200,Hillcrest East (Auckland),Waitemata,Auckland,masked,2999,3278,>950,915
126300,Chatswood,Waitemata,Auckland,2853,2717,3015,946,901
126400,Te Atatu South-Edmonton,Waitemata,Auckland,2823,2581,3127,903,825
126500,Birkenhead North,Waitemata,Auckland,2277,2161,2400,949,900
126600,Takapuna West,Waitemata,Auckland,masked,3661,4030,>950,908
126700,Henderson North,Waitemata,Auckland,3048,2770,3352,909,826
126800,Takapuna Central,Waitemata,Auckland,2134,2037,2359,905,864
126900,Western Heights (Auckland),Waitemata,Auckland,3542,3287,3803,931,864
127000,Te Atatu South-Central,Waitemata,Auckland,3359,3115,3551,946,877
127100,Northcote Central (Auckland),Waitemata,Auckland,1604,1482,1705,941,869
127200,Akoranga,Waitemata,Auckland,masked,995,1100,>950,905
127300,Northcote South (Auckland),Waitemata,Auckland,masked,1951,2143,>950,910
127400,Birkenhead South,Waitemata,Auckland,masked,2432,2659,>950,915
127500,Henderson Central,Waitemata,Auckland,1174,1059,1304,900,812
127600,Waiatarua,Waitemata,Auckland,1733,1611,1859,932,867
127700,Te Atatu South-McLeod North,Waitemata,Auckland,2681,2429,2909,922,835
127800,Henderson Valley Park,Waitemata,Auckland,1519,1334,1692,898,788
127900,Henderson North East,Waitemata,Auckland,2088,1894,2310,904,820
128000,Waitakere Ranges South,Waitemata,Auckland,824,731,954,864,766
128100,Northcote Tuff Crater,Waitemata,Auckland,masked,1722,1851,>950,930
128200,Northcote Point (Auckland),Waitemata,Auckland,masked,2357,2559,>950,921
128300,McLaren Park,Waitemata,Auckland,3169,2834,3558,891,797
128400,Henderson East,Waitemata,Auckland,2176,1989,2367,919,840
128500,Te Atatu South-McLeod South,Waitemata,Auckland,2873,2635,3125,919,843
128600,Takapuna South,Waitemata,Auckland,1288,1225,1365,944,897
128700,Rosebank Peninsula,Auckland,Auckland,masked,masked,46,>950,>950
128800,Hauraki,Waitemata,Auckland,3413,3249,3595,949,904
128900,Glendene North,Waitemata,Auckland,3660,3320,4026,909,825
129000,Sunnyvale West-Parrs Park,Waitemata,Auckland,1948,1730,2174,896,796
129100,Sunnyvale East,Waitemata,Auckland,3723,3378,4128,902,818
129200,Point Chevalier West,Auckland,Auckland,3212,3047,3430,936,888
129300,Belmont (Auckland),Waitemata,Auckland,masked,2218,2458,>950,902
129400,Bayswater,Waitemata,Auckland,2236,2134,2372,943,900
129400,Bayswater,Area outside District Health Board,Auckland,2240,2134,2372,944,900
129500,Glendene South,Waitemata,Auckland,2320,2123,2516,922,844
