sa2_code,sa2,dhbresidence,ethnicity_priority,dose1_cnt,dose2_cnt,pop_cnt,dose1_uptake,dose2_uptake
117600,Oteha East,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
117700,Northcross,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
117800,Oteha West,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
117900,Waiake,Waitemata,Pacific Peoples,53,51,masked,>950,>950
118000,Waitakere,Waitemata,Pacific Peoples,67,67,masked,>950,>950
118100,Albany South,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
118200,Browns Bay South West,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
118300,Browns Bay Central,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
118400,Schnapper Rock,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
118500,Pinehill ,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
118600,North Harbour,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
118700,Browns Bay South East,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
118800,Westgate Central,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
118900,Greenhithe West,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
119000,Rothesay Bay,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
119100,Greenhithe East,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
119200,Hobsonville,Waitemata,Pacific Peoples,56,55,61,918,902
119400,Greenhithe South,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
119500,Murrays Bay West,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
119600,Westgate South,Waitemata,Pacific Peoples,243,240,266,914,902
119700,Windsor Park,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
119800,West Harbour West,Waitemata,Pacific Peoples,512,500,541,946,924
119900,Unsworth Heights West,Waitemata,Pacific Peoples,48,48,masked,>950,>950
120000,Murrays Bay East,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
120100,Birdwood West,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
120200,Hobsonville Point,Waitemata,Pacific Peoples,161,160,masked,>950,>950
120300,West Harbour Clearwater Cove,Waitemata,Pacific Peoples,156,152,masked,>950,>950
120400,Unsworth Heights East,Waitemata,Pacific Peoples,110,110,masked,>950,>950
120500,Mairangi Bay North,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
120600,Massey Central,Waitemata,Pacific Peoples,637,616,masked,>950,masked
120700,West Harbour Luckens Point,Waitemata,Pacific Peoples,90,85,masked,>950,masked
120800,Mairangi Bay South,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
120900,Massey Royal Road West,Waitemata,Pacific Peoples,443,435,masked,>950,>950
121000,Bayview East,Waitemata,Pacific Peoples,183,180,masked,>950,>950
121100,Swanson Rural,Waitemata,Pacific Peoples,68,66,masked,>950,>950
121200,Sunnynook South,Waitemata,Pacific Peoples,79,79,masked,>950,>950
121300,Sunnynook North,Waitemata,Pacific Peoples,44,42,masked,>950,masked
121400,Bayview West,Waitemata,Pacific Peoples,95,95,masked,>950,>950
121500,Totara Vale North,Waitemata,Pacific Peoples,91,90,97,938,928
121600,Royal Heights North,Waitemata,Pacific Peoples,445,433,495,899,875
121700,Massey West,Waitemata,Pacific Peoples,199,194,213,934,911
121800,Beach Haven West,Waitemata,Pacific Peoples,157,155,masked,>950,>950
121900,Totara Vale South,Waitemata,Pacific Peoples,150,150,158,949,949
122000,Swanson,Waitemata,Pacific Peoples,230,223,masked,>950,>950
122100,Bayview South,Waitemata,Pacific Peoples,106,106,119,891,891
122200,Campbells Bay,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
122300,Royal Heights South,Waitemata,Pacific Peoples,599,581,638,939,911
122400,Beach Haven East,Waitemata,Pacific Peoples,481,472,522,921,904
122500,Massey East,Waitemata,Pacific Peoples,797,777,841,948,924
122600,Forrest Hill North,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
122700,Glenfield North,Waitemata,Pacific Peoples,127,125,masked,>950,masked
122800,Birkdale North,Waitemata,Pacific Peoples,331,326,masked,>950,>950
122900,Massey South,Waitemata,Pacific Peoples,768,745,817,940,912
123000,Ranui North,Waitemata,Pacific Peoples,924,901,979,944,920
123100,Glenfield West,Waitemata,Pacific Peoples,107,107,masked,>950,>950
123200,Te Atatu Peninsula North West,Waitemata,Pacific Peoples,253,247,279,907,885
123300,Glenfield South West,Waitemata,Pacific Peoples,164,159,masked,>950,>950
123400,Forrest Hill West,Waitemata,Pacific Peoples,95,93,100,950,930
123500,Wairau Valley ,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
123600,Forrest Hill East,Waitemata,Pacific Peoples,66,66,masked,>950,>950
123700,Castor Bay,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
123800,Ranui Domain,Waitemata,Pacific Peoples,649,627,masked,>950,masked
123900,Beach Haven South,Waitemata,Pacific Peoples,78,76,masked,>950,masked
124000,Glenfield Central,Waitemata,Pacific Peoples,95,90,masked,>950,>950
124100,Piha,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
124200,Ranui South West,Waitemata,Pacific Peoples,468,444,masked,>950,masked
124300,Henderson Larnoch,Waitemata,Pacific Peoples,866,842,masked,>950,masked
124400,Birkdale South,Waitemata,Pacific Peoples,278,275,295,942,932
124500,Te Atatu Peninsula Central,Waitemata,Pacific Peoples,405,390,428,946,911
124600,Glenfield East,Waitemata,Pacific Peoples,82,82,masked,>950,>950
124700,Henderson Valley,Waitemata,Pacific Peoples,54,52,masked,>950,>950
124800,Te Atatu Peninsula West,Waitemata,Pacific Peoples,415,409,masked,>950,>950
124900,Henderson Lincoln West,Waitemata,Pacific Peoples,549,541,579,948,934
125000,Ranui South East,Waitemata,Pacific Peoples,427,420,masked,>950,masked
125100,Henderson Lincoln East,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
125200,Birkenhead West,Waitemata,Pacific Peoples,87,86,masked,>950,>950
125300,Te Atatu Peninsula East,Waitemata,Pacific Peoples,221,219,238,929,920
125400,Milford West,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
125500,Westlake,Waitemata,Pacific Peoples,43,43,masked,masked,masked
125600,Hillcrest North (Auckland),Waitemata,Pacific Peoples,68,68,76,895,895
125700,Henderson Lincoln South,Waitemata,Pacific Peoples,342,330,366,934,902
125800,Hillcrest West (Auckland),Waitemata,Pacific Peoples,57,57,60,950,950
125900,Milford Central,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
126000,Summerland South,Waitemata,Pacific Peoples,253,248,277,913,895
126100,Summerland North,Waitemata,Pacific Peoples,178,176,masked,>950,>950
126200,Hillcrest East (Auckland),Waitemata,Pacific Peoples,85,85,masked,>950,>950
126300,Chatswood,Waitemata,Pacific Peoples,56,56,60,933,933
126400,Te Atatu South-Edmonton,Waitemata,Pacific Peoples,537,523,594,904,880
126500,Birkenhead North,Waitemata,Pacific Peoples,51,51,61,836,836
126600,Takapuna West,Waitemata,Pacific Peoples,75,75,masked,>950,>950
126700,Henderson North,Waitemata,Pacific Peoples,556,546,592,939,922
126800,Takapuna Central,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
126900,Western Heights (Auckland),Waitemata,Pacific Peoples,456,449,masked,>950,>950
127000,Te Atatu South-Central,Waitemata,Pacific Peoples,510,500,541,943,924
127100,Northcote Central (Auckland),Waitemata,Pacific Peoples,203,202,219,927,922
127200,Akoranga,Waitemata,Pacific Peoples,91,87,masked,>950,>950
127300,Northcote South (Auckland),Waitemata,Pacific Peoples,68,68,masked,>950,>950
127400,Birkenhead South,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
127500,Henderson Central,Waitemata,Pacific Peoples,129,126,142,908,887
127600,Waiatarua,Waitemata,Pacific Peoples,64,64,masked,>950,>950
127700,Te Atatu South-McLeod North,Waitemata,Pacific Peoples,472,464,497,950,934
127800,Henderson Valley Park,Waitemata,Pacific Peoples,537,529,masked,>950,>950
127900,Henderson North East,Waitemata,Pacific Peoples,342,332,376,910,883
128000,Waitakere Ranges South,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
128100,Northcote Tuff Crater,Waitemata,Pacific Peoples,56,56,masked,>950,>950
128200,Northcote Point (Auckland),Waitemata,Pacific Peoples,69,69,masked,>950,>950
128300,McLaren Park,Waitemata,Pacific Peoples,980,952,1077,910,884
128400,Henderson East,Waitemata,Pacific Peoples,440,432,476,924,908
128500,Te Atatu South-McLeod South,Waitemata,Pacific Peoples,524,517,masked,>950,masked
128600,Takapuna South,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
128700,Rosebank Peninsula,Auckland,Pacific Peoples,masked,masked,masked,masked,masked
128800,Hauraki,Waitemata,Pacific Peoples,52,48,masked,>950,>950
128900,Glendene North,Waitemata,Pacific Peoples,920,901,971,947,928
129000,Sunnyvale West-Parrs Park,Waitemata,Pacific Peoples,610,599,649,940,923
129100,Sunnyvale East,Waitemata,Pacific Peoples,723,710,766,944,927
129200,Point Chevalier West,Auckland,Pacific Peoples,177,175,189,937,926
129300,Belmont (Auckland),Waitemata,Pacific Peoples,66,65,74,892,878
129400,Bayswater,Waitemata,Pacific Peoples,96,95,107,897,888
129500,Glendene South,Waitemata,Pacific Peoples,669,660,masked,>950,>950
129600,Glen Eden West,Waitemata,Pacific Peoples,673,651,masked,>950,masked
129700,Herne Bay,Auckland,Pacific Peoples,masked,masked,masked,masked,masked
129800,Westmere North,Auckland,Pacific Peoples,81,80,masked,>950,>950
129900,Point Chevalier East,Auckland,Pacific Peoples,291,287,309,942,929
130000,Oratia,Waitemata,Pacific Peoples,56,54,masked,>950,masked
130100,Glen Eden Rosier,Waitemata,Pacific Peoples,562,551,masked,>950,>950
130200,Saint Marys Bay,Auckland,Pacific Peoples,45,44,53,849,830
130300,Westmere South-Western Springs,Auckland,Pacific Peoples,149,148,masked,>950,>950
130400,Ponsonby West,Auckland,Pacific Peoples,142,135,masked,>950,masked
130500,Kelston North,Waitemata,Pacific Peoples,737,714,791,932,903
130600,Avondale Rosebank ,Auckland,Pacific Peoples,1093,1059,1171,933,904
130700,Narrow Neck,Waitemata,Pacific Peoples,56,55,masked,>950,masked
130800,Glen Eden North,Waitemata,Pacific Peoples,483,476,masked,>950,>950
130900,Glen Eden Woodglen,Waitemata,Pacific Peoples,590,576,622,949,926
131000,Kelston South,Waitemata,Pacific Peoples,604,591,643,939,919
131100,Waterview,Auckland,Pacific Peoples,563,544,masked,>950,masked
131200,Ponsonby East,Auckland,Pacific Peoples,177,175,masked,>950,>950
131300,Wynyard-Viaduct,Auckland,Pacific Peoples,masked,masked,masked,masked,masked
131400,Stanley Point,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
131500,Glen Eden Central,Waitemata,Pacific Peoples,297,292,313,949,933
131600,Grey Lynn North,Auckland,Pacific Peoples,237,234,masked,>950,>950
131700,Avondale West (Auckland),Auckland,Pacific Peoples,987,961,1056,935,910
131800,Freemans Bay,Auckland,Pacific Peoples,154,153,173,890,884
131900,Mount Albert West,Auckland,Pacific Peoples,217,214,248,875,863
132000,Avondale North (Auckland),Auckland,Pacific Peoples,549,535,599,917,893
132100,Grey Lynn West,Auckland,Pacific Peoples,342,337,365,937,923
132200,Mount Albert North,Auckland,Pacific Peoples,288,286,masked,>950,masked
132300,New Lynn North,Waitemata,Pacific Peoples,490,476,masked,>950,masked
132400,Victoria Park ,Auckland,Pacific Peoples,69,68,masked,>950,>950
132500,Konini,Waitemata,Pacific Peoples,167,165,185,903,892
132600,New Lynn North West,Waitemata,Pacific Peoples,397,390,masked,>950,masked
132700,Hobson Ridge North,Auckland,Pacific Peoples,87,84,masked,>950,masked
132800,Grey Lynn Central,Auckland,Pacific Peoples,345,337,masked,>950,masked
132900,Fruitvale,Waitemata,Pacific Peoples,307,299,325,945,920
133000,Devonport,Waitemata,Pacific Peoples,42,42,48,875,875
133100,Avondale Central (Auckland),Auckland,Pacific Peoples,428,416,masked,>950,>950
133200,Queen Street,Auckland,Pacific Peoples,69,60,masked,>950,masked
133300,Quay Street-Customs Street,Auckland,Pacific Peoples,83,81,91,912,890
133400,Hobson Ridge Central,Auckland,Pacific Peoples,124,119,masked,>950,>950
133500,Grey Lynn East,Auckland,Pacific Peoples,132,127,masked,>950,>950
133600,Morningside (Auckland),Auckland,Pacific Peoples,313,306,332,943,922
133700,Shortland Street,Auckland,Pacific Peoples,masked,masked,masked,masked,masked
133800,Hobson Ridge South,Auckland,Pacific Peoples,47,46,50,940,920
133900,New Lynn Central,Waitemata,Pacific Peoples,45,45,masked,>950,>950
134000,Cheltenham,Waitemata,Pacific Peoples,masked,masked,masked,masked,masked
134100,Queen Street South West,Auckland,Pacific Peoples,58,56,68,853,824
134200,Mount Albert Central,Auckland,Pacific Peoples,181,180,192,943,938
134300,Karangahape,Auckland,Pacific Peoples,98,97,105,933,924
134400,Kingsland,Auckland,Pacific Peoples,321,318,338,950,941
134500,Anzac Avenue,Auckland,Pacific Peoples,71,70,83,855,843
134600,Waima-Woodlands Park,Waitemata,Pacific Peoples,54,54,masked,>950,>950
134700,Kaurilands,Waitemata,Pacific Peoples,109,107,masked,>950,masked
134800,Auckland-University,Auckland,Pacific Peoples,masked,masked,masked,masked,masked
134900,New Lynn Seabrook,Waitemata,Pacific Peoples,318,314,351,906,895
135000,Avondale South (Auckland),Auckland,Pacific Peoples,698,677,masked,>950,masked
135100,Symonds Street North West,Auckland,Pacific Peoples,82,80,89,921,899
135200,Mount Albert South,Auckland,Pacific Peoples,90,89,106,849,840
135300,Symonds Street West,Auckland,Pacific Peoples,116,112,masked,>950,>950
135400,West Lynn,Waitemata,Pacific Peoples,186,184,202,921,911
135500,Owairaka West,Auckland,Pacific Peoples,295,289,323,913,895
135600,New Lynn Central South,Waitemata,Pacific Peoples,362,350,masked,>950,masked
135700,The Strand,Auckland,Pacific Peoples,58,57,64,906,891
135800,St Lukes,Auckland,Pacific Peoples,142,138,162,877,852
135900,Symonds Street East,Auckland,Pacific Peoples,96,90,108,889,833
136000,Eden Terrace,Auckland,Pacific Peoples,169,162,masked,>950,>950
136100,Grafton,Auckland,Pacific Peoples,47,47,50,940,940
136200,Eden Park,Auckland,Pacific Peoples,113,112,119,950,941
136300,Sandringham North,Auckland,Pacific Peoples,264,255,285,926,895
136400,Parnell West,Auckland,Pacific Peoples,84,84,masked,>950,>950
136500,New Lynn South,Waitemata,Pacific Peoples,493,475,masked,>950,masked
