SA2 Code 2018,SA2 2018,DHB of residence,Ethnicity,Population,At least partially vaccinated,Fully vaccinated,Partially vaccinated uptake,Fully vaccinated uptake
117000,Whenuapai,Waitemata,Pacific Peoples,210,199,189,948,900
117100,Waitakere Ranges North,Waitemata,Maori,79,Masked,75,>950,949
117200,Torbay,Waitemata,Maori,132,Masked,123,>950,932
117200,Torbay,Waitemata,Pacific Peoples,59,Masked,Masked,>950,>950
117300,Albany Central,Waitemata,Maori,111,95,87,856,784
117400,Albany West,Waitemata,Maori,60,Masked,Masked,>950,>950
117400,Albany West,Waitemata,Pacific Peoples,42,Masked,Masked,>950,>950
117500,Glamorgan,Waitemata,Maori,140,132,127,943,907
117500,Glamorgan,Waitemata,Pacific Peoples,43,Masked,40,>950,930
117600,Oteha East,Waitemata,Maori,72,68,68,944,944
117600,Oteha East,Waitemata,Pacific Peoples,49,37,37,755,755
117700,Northcross,Waitemata,Maori,101,Masked,Masked,>950,>950
117900,Waiake,Waitemata,Maori,123,111,105,902,854
117900,Waiake,Waitemata,Pacific Peoples,48,Masked,41,>950,854
118000,Waitakere,Waitemata,Maori,176,156,148,886,841
118000,Waitakere,Waitemata,Pacific Peoples,71,66,63,930,887
118100,Albany South,Waitemata,Maori,94,88,83,936,883
118100,Albany South,Waitemata,Pacific Peoples,40,Masked,Masked,>950,>950
118200,Browns Bay South West,Waitemata,Maori,132,118,115,894,871
118300,Browns Bay Central,Waitemata,Maori,95,Masked,Masked,>950,>950
118400,Schnapper Rock,Waitemata,Maori,89,83,81,933,910
118500,Pinehill ,Waitemata,Maori,68,60,58,882,853
118600,North Harbour,Waitemata,Maori,75,57,53,760,707
118700,Browns Bay South East,Waitemata,Maori,80,70,68,875,850
118900,Greenhithe West,Waitemata,Maori,117,106,104,906,889
118900,Greenhithe West,Waitemata,Pacific Peoples,41,Masked,38,>950,927
119000,Rothesay Bay,Waitemata,Maori,55,Masked,Masked,>950,>950
119100,Greenhithe East,Waitemata,Maori,93,83,83,892,892
119100,Greenhithe East,Waitemata,Pacific Peoples,40,38,37,950,925
119200,Hobsonville,Waitemata,Maori,60.0,Masked,Masked,>950,>950
119200,Hobsonville,Waitemata,Pacific Peoples,59.0,52,51,881,864
119400,Greenhithe South,Waitemata,Maori,69,Masked,Masked,>950,>950
119500,Murrays Bay West,Waitemata,Maori,73,Masked,Masked,>950,>950
119600,Westgate South,Waitemata,Maori,250,215,202,860,808
119600,Westgate South,Waitemata,Pacific Peoples,266,235,216,883,812
119800,West Harbour West,Waitemata,Maori,558,482,442,864,792
119800,West Harbour West,Waitemata,Pacific Peoples,547,502,478,918,874
119900,Unsworth Heights West,Waitemata,Maori,55,Masked,Masked,>950,>950
119900,Unsworth Heights West,Waitemata,Pacific Peoples,43,Masked,Masked,>950,>950
120000,Murrays Bay East,Waitemata,Maori,64,Masked,Masked,>950,>950
120100,Birdwood West,Waitemata,Maori,99,89,80,899,808
120100,Birdwood West,Waitemata,Pacific Peoples,42,35,34,833,810
120200,Hobsonville Point,Waitemata,Maori,239,Masked,225,>950,941
120200,Hobsonville Point,Waitemata,Pacific Peoples,155,Masked,Masked,>950,>950
120300,West Harbour Clearwater Cove,Waitemata,Maori,200,Masked,Masked,>950,>950
120300,West Harbour Clearwater Cove,Waitemata,Pacific Peoples,156,Masked,148,>950,949
120400,Unsworth Heights East,Waitemata,Maori,163,Masked,151,>950,926
120400,Unsworth Heights East,Waitemata,Pacific Peoples,111,Masked,Masked,>950,>950
120500,Mairangi Bay North,Waitemata,Maori,86,Masked,Masked,>950,>950
120500,Mairangi Bay North,Waitemata,Pacific Peoples,41,36,33,878,805
120600,Massey Central,Waitemata,Maori,465,423,388,910,834
120600,Massey Central,Waitemata,Pacific Peoples,661,628,585,950,885
120700,West Harbour Luckens Point,Waitemata,Maori,103,Masked,Masked,>950,>950
120700,West Harbour Luckens Point,Waitemata,Pacific Peoples,88,Masked,79,>950,898
120800,Mairangi Bay South,Waitemata,Maori,90,Masked,Masked,>950,>950
120900,Massey Royal Road West,Waitemata,Maori,369,321,294,870,797
120900,Massey Royal Road West,Waitemata,Pacific Peoples,439,Masked,417,>950,950
121000,Bayview East,Waitemata,Maori,188,174,163.0,926,867
121000,Bayview East,Waitemata,Pacific Peoples,169,Masked,Masked,>950,>950
121100,Swanson Rural,Waitemata,Maori,193,177,167,917,865
121100,Swanson Rural,Waitemata,Pacific Peoples,67,Masked,Masked,>950,>950
121200,Sunnynook South,Waitemata,Maori,110,98,94,891,855
121200,Sunnynook South,Waitemata,Pacific Peoples,81,Masked,Masked,>950,>950
121300,Sunnynook North,Waitemata,Maori,96,Masked,89,>950,927
121300,Sunnynook North,Waitemata,Pacific Peoples,44,40,40,909,909
121400,Bayview West,Waitemata,Maori,124,103.0,98.0,831,790
121400,Bayview West,Waitemata,Pacific Peoples,93,Masked,Masked,>950,>950
121500,Totara Vale North,Waitemata,Maori,153,141,132,922,863
121500,Totara Vale North,Waitemata,Pacific Peoples,103,96,93,932,903
121600,Royal Heights North,Waitemata,Maori,430,390,364,907,847
121600,Royal Heights North,Waitemata,Pacific Peoples,489,426,414,871,847
121700,Massey West,Waitemata,Maori,180,151,135,839,750
121700,Massey West,Waitemata,Pacific Peoples,215,197,185,916,860
121800,Beach Haven West,Waitemata,Maori,257,231,221,899,860
121800,Beach Haven West,Waitemata,Pacific Peoples,151,Masked,Masked,>950,>950
121900,Totara Vale South,Waitemata,Maori,203,187,183,921,901
121900,Totara Vale South,Waitemata,Pacific Peoples,159,148,145,931,912
122000,Swanson,Waitemata,Maori,286,257,246,899,860
122000,Swanson,Waitemata,Pacific Peoples,226,Masked,Masked,>950,>950
122100,Bayview South,Waitemata,Maori,134,Masked,Masked,>950,>950
122100,Bayview South,Waitemata,Pacific Peoples,120,107,104,892,867
122200,Campbells Bay,Waitemata,Maori,79,Masked,Masked,>950,>950
122300,Royal Heights South,Waitemata,Maori,494,431,389,872,787
122300,Royal Heights South,Waitemata,Pacific Peoples,641,584,558,911,871
122400,Beach Haven East,Waitemata,Maori,592,508,466,858,787
122400,Beach Haven East,Waitemata,Pacific Peoples,527,481,449,913,852
122500,Massey East,Waitemata,Maori,478,408,375,854,785
122500,Massey East,Waitemata,Pacific Peoples,850,780,740,918,871
122600,Forrest Hill North,Waitemata,Maori,63,59,58,937,921
122700,Glenfield North,Waitemata,Maori,150,134,128.0,893,853
122700,Glenfield North,Waitemata,Pacific Peoples,134,124,121.0,925,903
122800,Birkdale North,Waitemata,Maori,418,385,361,921,864
